reaction	linear_coefficient
r_0084	[0.00039577743948831124, 0.0005398168222137951, 0.0006225362968205586]
r_0085	[0.019860254573854395, 0.017398581458162053, 0.01490480876189056]
r_0086	[0.011122348600007936, 0.016070248065966537, 0.01490480876189056]
r_0087	[0.0040842514170051705, 0.004834761456979342, 0.0050843767596673506]
r_0088	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0089	[0.0049494432439269875, 0.00851535189785445, 0.0050843767596673506]
r_0090	[0.019860254573854395, 0.018018470374519993, 0.018586211802002914]
r_0091	[0.0008346169639217905, 0.0009272473949374902, 0.0010153689382959622]
r_0092	[0.001712296012788758, 0.0016965738179173994, 0.0019918386471062467]
r_0093	[0.0040842514170051705, 0.0039824141969872105, 0.004404953444740858]
r_0094	[0.001767845319679071, 0.0017629904875271784, 0.0021265241241835296]
r_0095	[0.0021511355372222387, 0.0019179627166166582, 0.002317328550043006]
r_0096	[4.58168060793325e-05, 0.0005232126548113507, 0.0006169244019423387]
r_0097	[0.0013123410031784933, 0.0013036085227262234, 0.0018908245392982859]
r_0098	[4.58168060793325e-05, 0.0005232126548113507, 0.0006169244019423387]
r_0099	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0100	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0101	[0.46227715437107214, 0.21673714584697107, 0.1531762866663539]
r_0102	[0.0033898850808762437, 0.0034234072277715905, 0.0038830472210664]
r_0103	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0104	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0105	[4.58168060793325e-05, 0.0005232126548113507, 0.0006169244019423387]
r_0106	[0.0015956424683190981, 0.0018681502144093228, 0.0020591813856448847]
r_0107	[0.003756510506352315, 0.0034510808401089976, 0.0038437639569188554]
r_0108	[0.00039577743948831124, 0.0005398168222137951, 0.0006225362968205586]
r_0109	[0.0015956424683190981, 0.0018681502144093228, 0.0020591813856448847]
r_0110	[0.00109569870630627, 0.0011873793509091148, 0.0013745302105020436]
r_0111	[0.001112363498373361, 0.001231657130648965, 0.0013745302105020436]
r_0112	[0.00109569870630627, 0.0012261224081814865, 0.0013801421053802599]
r_0113	[0.0016845213593435985, 0.001984379386226431, 0.002031121911253785]
r_0114	[0.053467585242494446, 0.12013963462201872, 0.11513325128690034]
r_0115	[0.001712296012788758, 0.0016965738179173994, 0.0019918386471062467]
r_0116	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0117	[0.00039577743948831124, 0.0005398168222137951, 0.0006225362968205586]
r_0118	[0.015960693230154352, 0.017398581458162053, 0.017099059659274548]
r_0119	[0.024487511837817513, 0.028313054164035335, 0.030202834199918357]
r_0120	[0.015960693230154352, 0.018018470374519993, 0.02548323060733532]
r_0121	[0.0049494432439269875, 0.004812622567109413, 0.0050843767596673506]
r_0122	[0.007833829632101367, 0.00483734743657872, 0.010179593274429292]
r_0123	[0.0037620654370413486, 0.0032573655537471457, 0.0038942710108228386]
r_0124	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0125	[0.008100466305174879, 0.00483734743657872, 0.0050843767596673506]
r_0126	[0.008100466305174879, 0.00483734743657872, 0.0050843767596673506]
r_0127	[0.008100466305174879, 0.00483734743657872, 0.0050843767596673506]
r_0128	[0.0013290057952455902, 0.0017076432628523636, 0.002031121911253785]
r_0129	[0.0037898400904865025, 0.0032905738885520386, 0.002822399089082809]
r_0130	[0.004017592248736795, 0.0039824141969872105, 0.005078380830127268]
r_0131	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0132	[0.002201129913423518, 0.0024216224611574642, 0.002777503930057048]
r_0133	[0.2610442352302199, 0.30907845549443064, 0.2702235781413891]
r_0134	[0.001767845319679071, 0.002189164117523241, 0.0024183426578509664]
r_0135	[0.00275106805163763, 0.002189164117523241, 0.0024183426578509664]
r_0136	[0.00275106805163763, 0.002189164117523241, 0.0024183426578509664]
r_0137	[0.003528758348102029, 0.0034123377828366263, 0.0038437639569188554]
r_0138	[0.0010790339142391732, 0.0011873793509091148, 0.0013240231565980602]
r_0139	[0.003528758348102029, 0.0034123377828366263, 0.0038437639569188554]
r_0140	[0.019260322059439, 0.008454469950712187, 0.01490480876189056]
r_0141	[0.001112363498373361, 0.001281469632856301, 0.0013801421053802599]
r_0142	[0.0010845888449282073, 0.001148636293636743, 0.0013352469463545054]
r_0143	[0.0010845888449282073, 0.001148636293636743, 0.0013352469463545054]
r_0144	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0145	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
