reaction	linear_coefficient
r_0001	[0.001775015315420128, 0.0011805485239032314, 0.0012480367542375987]
r_0002	[0.008065006399469849, 0.009873218971730413, 0.010514623182140647]
r_0003	[0.0027399917620493067, 0.001219689134296613, 0.001585855972940914]
r_0004	[0.004811160720668022, 0.0064547457744113575, 0.006579246299399265]
r_0005	[4.9041183237864105e-05, 0.001131622760911505, 0.0012480367542375987]
r_0006	[0.0017671699784556625, 0.001131622760911505, 0.0012058093518996847]
r_0007	[8.826786806018825e-05, 0.0012490445920916486, 0.0019342320422287105]
r_0008	[8.826786806018825e-05, 0.0012490445920916486, 0.0019342320422287105]
r_0009	[8.826786806018825e-05, 0.0012490445920916486, 0.0019342320422287105]
r_0010	[8.826786806018825e-05, 0.0012490445920916486, 0.0019342320422287105]
r_0011	[0.0006217507816437973, 0.000632579978395894, 0.0006568531215067992]
r_0012	[0.0006217507816437973, 0.000632579978395894, 0.0006568531215067992]
r_0013	[0.0006217507816437973, 0.000632579978395894, 0.0006568531215067992]
r_0014	[0.0006217507816437973, 0.000632579978395894, 0.0006568531215067992]
r_0015	[0.003163639958130404, 0.0029614462968020764, 0.0028526780430783404]
r_0016	[0.19327969061800654, 0.06987231976428733, 0.09855052859137646]
r_0017	[0.04160579108400809, 0.1746125931769757, 0.7849358398930033]
r_0018	[0.001775015315420128, 0.0011805485239032314, 0.0012480367542375987]
r_0019	[0.03689074356836467, 0.03865768297556572, 0.049925674799268176]
r_0020	[0.005101438188353216, 0.002403692598696397, 0.00271543898548012]
r_0021	[0.0002137932594916256, 7.48262802902118e-05, 6.56694887760002e-05]
r_0022	[0.0017122526197044042, 0.0011609782187065403, 0.001226923053068641]
r_0023	[0.002128055478821046, 0.0007695721147727287, 0.000825762730858457]
r_0024	[0.0027007650772269782, 0.0011903336765015761, 0.0015436285706029991]
r_0025	[0.002708610414191444, 0.0023058410727129362, 0.0018920046398907956]
r_0026	[0.001853468685064773, 0.002472188666884812, 0.0024937451232060694]
r_0027	[0.002747837099013762, 0.002315626225311285, 0.0016069696741098651]
r_0028	[0.04160579108400809, 0.03651473455652816, 0.027471253606082373]
r_0029	[0.002967506534018786, 0.0025015441246798447, 0.0028210074913249013]
r_0030	[0.002967506534018786, 0.0025015441246798447, 0.0028210074913249013]
r_0031	[0.008065006399469849, 0.009873218971730413, 0.010514623182140647]
r_0032	[0.004811160720668022, 0.0026874620240484046, 0.003106042457105831]
r_0033	[0.0017122526197044042, 0.0026874620240484046, 0.0030321445030144765]
r_0034	[0.002159436826678908, 0.0022373450045245218, 0.002588756778466375]
r_0035	[0.004348285839764596, 0.0037833991150630786, 0.0031588267100282215]
r_0036	[0.004348285839764596, 0.0037833991150630786, 0.0031588267100282215]
r_0037	[0.001304295097552237, 0.0025015441246798447, 0.0024831882726215936]
r_0038	[0.001304295097552237, 0.0025015441246798447, 0.0024831882726215936]
r_0039	[0.0008021935318264881, 0.0021199231733443763, 0.0031165993076903062]
r_0040	[0.0011866150430852643, 0.002413477751294746, 0.0028421211924938654]
r_0041	[0.0011866150430852643, 0.002413477751294746, 0.0028421211924938654]
r_0042	[0.0028576718165162786, 0.004634707391119128, 0.006579246299399265]
r_0043	[0.0028576718165162786, 0.004634707391119128, 0.006579246299399265]
