regulator;gene_name;direction;evidence;regulator_gene
Bas1p;ATP4;+;Doc;BAS1
Hap4p;ATP4;+;Doc;HAP4
Mig2p;ATP4;+;Doc;MIG2
Pdr3p;ATP4;+;Doc;PDR3
Gcr2p;ATP4;+;Doc;GCR2
Rpn4p;ATP4;+;Doc;RPN4
Pdr1p;ATP4;+;Doc;PDR1
Yap1p;ATP4;+;Doc;YAP1
Met28p;ATP4;+;Doc;MET28
Met32p;ATP4;+;Doc;MET32
Aft2p;ATP4;+;Doc;AFT2
Ash1p;ATP4;+;Doc;ASH1
Ecm22p;ATP4;+;Doc;ECM22
Msn2p;ATP4;+;Doc;MSN2
Mss11p;ATP4;+;Doc;MSS11
Rim101p;ATP4;+;Doc;RIM101
Sut2p;ATP4;+;Doc;SUT2
Swi6p;ATP4;+;Doc;SWI6
Ert1p;ATP4;+;Doc;ERT1
Rph1p;ATP4;+;Doc;RPH1
Pdr3p;GPI2;+;Doc;PDR3
Gcr2p;GPI2;+;Doc;GCR2
Rpn4p;GPI2;+;Doc;RPN4
Pdr1p;GPI2;+;Doc;PDR1
Yap1p;GPI2;+;Doc;YAP1
Met28p;GPI2;+;Doc;MET28
Met32p;GPI2;+;Doc;MET32
Flo8p;GPI2;+;Doc;FLO8
Cbf1p;GPI2;+;Doc;CBF1
Met31p;GPI2;+;Doc;MET31
Cst6p;GPI2;+;Doc;CST6
Tup1p;GPI2;+;Doc;TUP1
Ace2p;GPI2;+;Doc;ACE2
Cup9p;GPI2;+;Doc;CUP9
Gal4p;GPI2;+;Doc;GAL4
Hms1p;GPI2;+;Doc;HMS1
Pip2p;GPI2;+;Doc;PIP2
Put3p;GPI2;+;Doc;PUT3
Rds2p;GPI2;+;Doc;RDS2
Rgt1p;GPI2;+;Doc;RGT1
Spt3p;GPI2;+;Doc;SPT3
Stb5p;GPI2;+;Doc;STB5
Thi2p;GPI2;+;Doc;THI2
Tye7p;GPI2;+;Doc;TYE7
Yap7p;GPI2;+;Doc;YAP7
Pdr3p;GCR1;+;Doc;PDR3
Gcr2p;GCR1;+;Doc;GCR2
Rpn4p;GCR1;+;Doc;RPN4
Pdr1p;GCR1;+;Doc;PDR1
Yap1p;GCR1;+;Doc;YAP1
Met28p;GCR1;+;Doc;MET28
Met32p;GCR1;+;Doc;MET32
Aft2p;GCR1;+;Doc;AFT2
Rim101p;GCR1;+;Doc;RIM101
Rph1p;GCR1;+;Doc;RPH1
Met31p;GCR1;+;Doc;MET31
Tye7p;GCR1;+;Doc;TYE7
Aft1p;GCR1;+;Doc;AFT1
Fkh1p;GCR1;+;Doc;FKH1
Ino2p;GCR1;+;Doc;INO2
Ixr1p;GCR1;+;Doc;IXR1
Mbp1p;GCR1;+;Doc;MBP1
Rfx1p;GCR1;+;Doc;RFX1
Tec1p;GCR1;+;Doc;TEC1
Gcr1p;GCR1;+;Doc;GCR1
Adr1p;GCR1;+;Doc;ADR1
Cad1p;GCR1;+;Doc;CAD1
Crz1p;GCR1;+;Doc;CRZ1
Dal81p;GCR1;+;Doc;DAL81
Haa1p;GCR1;+;Doc;HAA1
Hap2p;GCR1;+;Doc;HAP2
Hog1p;GCR1;+;Doc;HOG1
Leu3p;GCR1;+;Doc;LEU3
Mal13p;GCR1;+;Doc;MAL13
Mal33p;GCR1;+;Doc;MAL33
Mot3p;GCR1;+;Doc;MOT3
Msn1p;GCR1;+;Doc;MSN1
Ppr1p;GCR1;+;Doc;PPR1
Rtg1p;GCR1;+;Doc;RTG1
Rtg3p;GCR1;+;Doc;RTG3
Uga3p;GCR1;+;Doc;UGA3
Yap5p;GCR1;+;Doc;YAP5
Asg1p;GCR1;+;Doc;ASG1
YJL206C;GCR1;+;Doc;YJL206
Usv1p;GCR1;+;Doc;USV1
Hfi1p;GCR1;+;Doc;HFI1
Gsm1p;GCR1;+;Doc;GSM1
Pdr3p;YTA6;+;Doc;PDR3
Rpn4p;YTA6;+;Doc;RPN4
Pdr1p;YTA6;+;Doc;PDR1
Yap1p;YTA6;+;Doc;YAP1
Met32p;YTA6;+;Doc;MET32
Haa1p;YTA6;+;Doc;HAA1
Yap5p;YTA6;+;Doc;YAP5
Rpn4p;UBP16;+;Doc;RPN4
Pdr1p;UBP16;+;Doc;PDR1
Yap1p;UBP16;+;Doc;YAP1
Rim101p;UBP16;+;Doc;RIM101
Tec1p;UBP16;+;Doc;TEC1
Gcn4p;UBP16;+;Doc;GCN4
Pdr3p;MUK1;+;Doc;PDR3
Rpn4p;MUK1;+;Doc;RPN4
Pdr1p;MUK1;+;Doc;PDR1
Yap1p;MUK1;+;Doc;YAP1
Met28p;MUK1;+;Doc;MET28
Met32p;MUK1;+;Doc;MET32
Ecm22p;MUK1;+;Doc;ECM22
Cbf1p;MUK1;+;Doc;CBF1
Tec1p;MUK1;+;Doc;TEC1
Haa1p;MUK1;+;Doc;HAA1
Rlm1p;MUK1;+;Doc;RLM1
Swi4p;MUK1;+;Doc;SWI4
Fkh2p;MUK1;+;Doc;FKH2
Pdr3p;BTS1;+;Doc;PDR3
Rpn4p;BTS1;+;Doc;RPN4
Pdr1p;BTS1;+;Doc;PDR1
Met32p;BTS1;+;Doc;MET32
Msn2p;BTS1;+;Doc;MSN2
Cbf1p;BTS1;+;Doc;CBF1
Ace2p;BTS1;+;Doc;ACE2
Put3p;BTS1;+;Doc;PUT3
Rgt1p;BTS1;+;Doc;RGT1
Tec1p;BTS1;+;Doc;TEC1
Fkh2p;BTS1;+;Doc;FKH2
Msn4p;BTS1;+;Doc;MSN4
Skn7p;BTS1;+;Doc;SKN7
Yrr1p;BTS1;+;Doc;YRR1
Mth1p;BTS1;+;Doc;MTH1
Pdr3p;VPS28;+;Doc;PDR3
Rpn4p;VPS28;+;Doc;RPN4
Pdr1p;VPS28;+;Doc;PDR1
Yap1p;VPS28;+;Doc;YAP1
Met28p;VPS28;+;Doc;MET28
Met32p;VPS28;+;Doc;MET32
Swi6p;VPS28;+;Doc;SWI6
Cbf1p;VPS28;+;Doc;CBF1
Met31p;VPS28;+;Doc;MET31
Fkh2p;VPS28;+;Doc;FKH2
Gal80p;VPS28;+;Doc;GAL80
Rdr1p;VPS28;+;Doc;RDR1
Rme1p;VPS28;+;Doc;RME1
Sip4p;VPS28;+;Doc;SIP4
Spt10p;VPS28;+;Doc;SPT10
Stp1p;VPS28;+;Doc;STP1
Stp2p;VPS28;+;Doc;STP2
Bas1p;TIM50;+;Doc;BAS1
Hap4p;TIM50;+;Doc;HAP4
Pdr3p;TIM50;+;Doc;PDR3
Gcr2p;TIM50;+;Doc;GCR2
Yap1p;TIM50;+;Doc;YAP1
Ecm22p;TIM50;+;Doc;ECM22
Msn2p;TIM50;+;Doc;MSN2
Sut2p;TIM50;+;Doc;SUT2
Swi6p;TIM50;+;Doc;SWI6
Ert1p;TIM50;+;Doc;ERT1
Cbf1p;TIM50;+;Doc;CBF1
Met31p;TIM50;+;Doc;MET31
Ace2p;TIM50;+;Doc;ACE2
Cup9p;TIM50;+;Doc;CUP9
Gal4p;TIM50;+;Doc;GAL4
Hms1p;TIM50;+;Doc;HMS1
Pip2p;TIM50;+;Doc;PIP2
Put3p;TIM50;+;Doc;PUT3
Thi2p;TIM50;+;Doc;THI2
Tye7p;TIM50;+;Doc;TYE7
Yap7p;TIM50;+;Doc;YAP7
Aft1p;TIM50;+;Doc;AFT1
Haa1p;TIM50;+;Doc;HAA1
Hap2p;TIM50;+;Doc;HAP2
Hog1p;TIM50;+;Doc;HOG1
Mal13p;TIM50;+;Doc;MAL13
Mot3p;TIM50;+;Doc;MOT3
Asg1p;TIM50;+;Doc;ASG1
Usv1p;TIM50;+;Doc;USV1
Gcn4p;TIM50;+;Doc;GCN4
Swi4p;TIM50;+;Doc;SWI4
Skn7p;TIM50;+;Doc;SKN7
Yrr1p;TIM50;+;Doc;YRR1
Gal80p;TIM50;+;Doc;GAL80
Spt10p;TIM50;+;Doc;SPT10
Sfp1p;TIM50;+;Doc;SFP1
Arg80p;TIM50;+;Doc;ARG80
Arr1p;TIM50;+;Doc;ARR1
Cup2p;TIM50;+;Doc;CUP2
Hap3p;TIM50;+;Doc;HAP3
Mga1p;TIM50;+;Doc;MGA1
Mga2p;TIM50;+;Doc;MGA2
Oaf1p;TIM50;+;Doc;OAF1
Pho2p;TIM50;+;Doc;PHO2
Pho23p;TIM50;+;Doc;PHO23
Snf1p;TIM50;+;Doc;SNF1
Spt2p;TIM50;+;Doc;SPT2
Xbp1p;TIM50;+;Doc;XBP1
Eds1p;TIM50;+;Doc;EDS1
Tda9p;TIM50;+;Doc;TDA9
Gat3p;TIM50;+;Doc;GAT3
Aca1p;TIM50;+;Doc;ACA1
Hap5p;TIM50;+;Doc;HAP5
Phd1p;TIM50;+;Doc;PHD1
Bas1p;ALD6;+;Doc;BAS1
Hap4p;ALD6;+;Doc;HAP4
Mig2p;ALD6;+;Doc;MIG2
Pdr3p;ALD6;+;Doc;PDR3
Gcr2p;ALD6;+;Doc;GCR2
Rpn4p;ALD6;+;Doc;RPN4
Pdr1p;ALD6;+;Doc;PDR1
Yap1p;ALD6;+;Doc;YAP1
Met28p;ALD6;+;Doc;MET28
Met32p;ALD6;+;Doc;MET32
Msn2p;ALD6;+;Doc;MSN2
Sut2p;ALD6;+;Doc;SUT2
Swi6p;ALD6;+;Doc;SWI6
Rph1p;ALD6;+;Doc;RPH1
Cbf1p;ALD6;+;Doc;CBF1
Met31p;ALD6;+;Doc;MET31
Stb5p;ALD6;+;Doc;STB5
Tye7p;ALD6;+;Doc;TYE7
Aft1p;ALD6;+;Doc;AFT1
Mbp1p;ALD6;+;Doc;MBP1
Gcr1p;ALD6;+;Doc;GCR1
Cad1p;ALD6;+;Doc;CAD1
Crz1p;ALD6;+;Doc;CRZ1
Gcn4p;ALD6;+;Doc;GCN4
Msn4p;ALD6;+;Doc;MSN4
Skn7p;ALD6;+;Doc;SKN7
Yrr1p;ALD6;+;Doc;YRR1
Sfp1p;ALD6;+;Doc;SFP1
Pho2p;ALD6;+;Doc;PHO2
Snf1p;ALD6;+;Doc;SNF1
Eds1p;ALD6;+;Doc;EDS1
Tda9p;ALD6;+;Doc;TDA9
Cat8p;ALD6;+;Doc;CAT8
Sok2p;ALD6;+;Doc;SOK2
Ste12p;ALD6;+;Doc;STE12
Gal3p;ALD6;+;Doc;GAL3
Mig1p;ALD6;+;Doc;MIG1
Opi1p;ALD6;+;Doc;OPI1
Mig3p;ALD6;+;Doc;MIG3
Zap1p;ALD6;+;Doc;ZAP1
Hsf1p;ALD6;+;Doc;HSF1
Mcm1p;ALD6;+;Doc;MCM1
Rap1p;ALD6;+;Doc;RAP1
Bas1p;GRX5;+;Doc;BAS1
Rpn4p;GRX5;+;Doc;RPN4
Pdr1p;GRX5;+;Doc;PDR1
Yap1p;GRX5;+;Doc;YAP1
Cbf1p;GRX5;+;Doc;CBF1
Gcr1p;GRX5;+;Doc;GCR1
Gcn4p;GRX5;+;Doc;GCN4
Rap1p;GRX5;+;Doc;RAP1
Abf1p;GRX5;+;Doc;ABF1
Rpn4p;PDR12;+;Doc;RPN4
Yap1p;PDR12;+;Doc;YAP1
Met28p;PDR12;+;Doc;MET28
Met32p;PDR12;+;Doc;MET32
Rim101p;PDR12;+;Doc;RIM101
Rph1p;PDR12;+;Doc;RPH1
Flo8p;PDR12;+;Doc;FLO8
Met31p;PDR12;+;Doc;MET31
Ixr1p;PDR12;+;Doc;IXR1
Haa1p;PDR12;+;Doc;HAA1
Leu3p;PDR12;+;Doc;LEU3
Rtg3p;PDR12;+;Doc;RTG3
Yap5p;PDR12;+;Doc;YAP5
Hfi1p;PDR12;+;Doc;HFI1
Gcn4p;PDR12;+;Doc;GCN4
Yrr1p;PDR12;+;Doc;YRR1
Mga1p;PDR12;+;Doc;MGA1
Xbp1p;PDR12;+;Doc;XBP1
Ste12p;PDR12;+;Doc;STE12
Mig1p;PDR12;+;Doc;MIG1
Hsf1p;PDR12;+;Doc;HSF1
Spt23p;PDR12;+;Doc;SPT23
War1p;PDR12;+;Doc;WAR1
Sfl1p;PDR12;+;Doc;SFL1
Rsf2p;PDR12;+;Doc;RSF2
Gat4p;PDR12;+;Doc;GAT4
Gzf3p;PDR12;+;Doc;GZF3
Dal82p;PDR12;+;Doc;DAL82
Ume1p;PDR12;+;Doc;UME1
Mot2p;PDR12;+;Doc;MOT2
Pdr3p;SUR1;+;Doc;PDR3
Gcr2p;SUR1;+;Doc;GCR2
Rpn4p;SUR1;+;Doc;RPN4
Pdr1p;SUR1;+;Doc;PDR1
Yap1p;SUR1;+;Doc;YAP1
Met32p;SUR1;+;Doc;MET32
Msn2p;SUR1;+;Doc;MSN2
Rph1p;SUR1;+;Doc;RPH1
Met31p;SUR1;+;Doc;MET31
Aft1p;SUR1;+;Doc;AFT1
Ixr1p;SUR1;+;Doc;IXR1
Crz1p;SUR1;+;Doc;CRZ1
Hog1p;SUR1;+;Doc;HOG1
Hfi1p;SUR1;+;Doc;HFI1
Rlm1p;SUR1;+;Doc;RLM1
Swi4p;SUR1;+;Doc;SWI4
Msn4p;SUR1;+;Doc;MSN4
Yrr1p;SUR1;+;Doc;YRR1
Stp1p;SUR1;+;Doc;STP1
Mig3p;SUR1;+;Doc;MIG3
Hsf1p;SUR1;+;Doc;HSF1
Rap1p;SUR1;+;Doc;RAP1
Pho4p;SUR1;+;Doc;PHO4
Gat1p;SUR1;+;Doc;GAT1
Yhp1p;SUR1;+;Doc;YHP1
Sum1p;SUR1;+;Doc;SUM1
Snf2p;SUR1;+;Doc;SNF2
Pdr3p;LGE1;+;Doc;PDR3
Yap1p;LGE1;+;Doc;YAP1
Met32p;LGE1;+;Doc;MET32
Aft2p;LGE1;+;Doc;AFT2
Ert1p;LGE1;+;Doc;ERT1
Cst6p;LGE1;+;Doc;CST6
Hms1p;LGE1;+;Doc;HMS1
Tye7p;LGE1;+;Doc;TYE7
Yap7p;LGE1;+;Doc;YAP7
Ixr1p;LGE1;+;Doc;IXR1
Tec1p;LGE1;+;Doc;TEC1
Haa1p;LGE1;+;Doc;HAA1
Mal13p;LGE1;+;Doc;MAL13
Ppr1p;LGE1;+;Doc;PPR1
Skn7p;LGE1;+;Doc;SKN7
Yrr1p;LGE1;+;Doc;YRR1
Gal80p;LGE1;+;Doc;GAL80
Cup2p;LGE1;+;Doc;CUP2
Spt2p;LGE1;+;Doc;SPT2
Phd1p;LGE1;+;Doc;PHD1
Sok2p;LGE1;+;Doc;SOK2
Gal3p;LGE1;+;Doc;GAL3
Opi1p;LGE1;+;Doc;OPI1
Mig3p;LGE1;+;Doc;MIG3
Hsf1p;LGE1;+;Doc;HSF1
Pho4p;LGE1;+;Doc;PHO4
Cin5p;LGE1;+;Doc;CIN5
Hac1p;LGE1;+;Doc;HAC1
Hal9p;LGE1;+;Doc;HAL9
Sut1p;LGE1;+;Doc;SUT1
YLR278C;LGE1;+;Doc;YLR278
Sdd4p;LGE1;+;Doc;SDD4
Bas1p;LEE1;+;Doc;BAS1
Pdr3p;LEE1;+;Doc;PDR3
Gcr2p;LEE1;+;Doc;GCR2
Rpn4p;LEE1;+;Doc;RPN4
Pdr1p;LEE1;+;Doc;PDR1
Yap1p;LEE1;+;Doc;YAP1
Met32p;LEE1;+;Doc;MET32
Msn2p;LEE1;+;Doc;MSN2
Hms1p;LEE1;+;Doc;HMS1
Stb5p;LEE1;+;Doc;STB5
Fkh1p;LEE1;+;Doc;FKH1
Ixr1p;LEE1;+;Doc;IXR1
Rfx1p;LEE1;+;Doc;RFX1
Gcn4p;LEE1;+;Doc;GCN4
Rlm1p;LEE1;+;Doc;RLM1
Swi4p;LEE1;+;Doc;SWI4
Msn4p;LEE1;+;Doc;MSN4
Rme1p;LEE1;+;Doc;RME1
Mig3p;LEE1;+;Doc;MIG3
Hsf1p;LEE1;+;Doc;HSF1
Abf1p;LEE1;+;Doc;ABF1
Gat1p;LEE1;+;Doc;GAT1
Cin5p;LEE1;+;Doc;CIN5
Gln3p;LEE1;+;Doc;GLN3
Pdr3p;ARL3;+;Doc;PDR3
Rpn4p;ARL3;+;Doc;RPN4
Yap1p;ARL3;+;Doc;YAP1
Met28p;ARL3;+;Doc;MET28
Met32p;ARL3;+;Doc;MET32
Msn2p;ARL3;+;Doc;MSN2
Ixr1p;ARL3;+;Doc;IXR1
Adr1p;ARL3;+;Doc;ADR1
Gcn4p;ARL3;+;Doc;GCN4
Msn4p;ARL3;+;Doc;MSN4
Arr1p;ARL3;+;Doc;ARR1
Ste12p;ARL3;+;Doc;STE12
Bas1p;MNN9;+;Doc;BAS1
Pdr3p;MNN9;+;Doc;PDR3
Gcr2p;MNN9;+;Doc;GCR2
Rpn4p;MNN9;+;Doc;RPN4
Pdr1p;MNN9;+;Doc;PDR1
Yap1p;MNN9;+;Doc;YAP1
Met32p;MNN9;+;Doc;MET32
Cst6p;MNN9;+;Doc;CST6
Tup1p;MNN9;+;Doc;TUP1
Gcr1p;MNN9;+;Doc;GCR1
Mth1p;MNN9;+;Doc;MTH1
Spt10p;MNN9;+;Doc;SPT10
Hap3p;MNN9;+;Doc;HAP3
Mga2p;MNN9;+;Doc;MGA2
Mig3p;MNN9;+;Doc;MIG3
Hsf1p;MNN9;+;Doc;HSF1
Mcm1p;MNN9;+;Doc;MCM1
Abf1p;MNN9;+;Doc;ABF1
Pdr3p;CAM1;+;Doc;PDR3
Rpn4p;CAM1;+;Doc;RPN4
Pdr1p;CAM1;+;Doc;PDR1
Yap1p;CAM1;+;Doc;YAP1
Met32p;CAM1;+;Doc;MET32
Cbf1p;CAM1;+;Doc;CBF1
Cst6p;CAM1;+;Doc;CST6
Cup9p;CAM1;+;Doc;CUP9
Gal4p;CAM1;+;Doc;GAL4
Hms1p;CAM1;+;Doc;HMS1
Pip2p;CAM1;+;Doc;PIP2
Put3p;CAM1;+;Doc;PUT3
Rds2p;CAM1;+;Doc;RDS2
Rgt1p;CAM1;+;Doc;RGT1
Spt3p;CAM1;+;Doc;SPT3
Stb5p;CAM1;+;Doc;STB5
Thi2p;CAM1;+;Doc;THI2
Tye7p;CAM1;+;Doc;TYE7
Yap7p;CAM1;+;Doc;YAP7
Gcr1p;CAM1;+;Doc;GCR1
Leu3p;CAM1;+;Doc;LEU3
Skn7p;CAM1;+;Doc;SKN7
Spt10p;CAM1;+;Doc;SPT10
Sfp1p;CAM1;+;Doc;SFP1
Aca1p;CAM1;+;Doc;ACA1
Phd1p;CAM1;+;Doc;PHD1
Hsf1p;CAM1;+;Doc;HSF1
Mcm1p;CAM1;+;Doc;MCM1
Rap1p;CAM1;+;Doc;RAP1
Abf1p;CAM1;+;Doc;ABF1
Snf2p;CAM1;+;Doc;SNF2
Kar4p;CAM1;+;Doc;KAR4
Yap3p;CAM1;+;Doc;YAP3
Reb1p;CAM1;+;Doc;REB1
Pdr3p;SGF11;+;Doc;PDR3
Pdr1p;SGF11;+;Doc;PDR1
Yap1p;SGF11;+;Doc;YAP1
Met28p;SGF11;+;Doc;MET28
Met32p;SGF11;+;Doc;MET32
Cbf1p;SGF11;+;Doc;CBF1
Rpn4p;VPS16;+;Doc;RPN4
Pdr1p;VPS16;+;Doc;PDR1
Met28p;VPS16;+;Doc;MET28
Met32p;VPS16;+;Doc;MET32
Hms1p;VPS16;+;Doc;HMS1
Tec1p;VPS16;+;Doc;TEC1
Haa1p;VPS16;+;Doc;HAA1
Hap2p;VPS16;+;Doc;HAP2
Ste12p;VPS16;+;Doc;STE12
Ino4p;VPS16;+;Doc;INO4
Pdr3p;NOP4;+;Doc;PDR3
Rpn4p;NOP4;+;Doc;RPN4
Pdr1p;NOP4;+;Doc;PDR1
Yap1p;NOP4;+;Doc;YAP1
Met28p;NOP4;+;Doc;MET28
Met32p;NOP4;+;Doc;MET32
Msn2p;NOP4;+;Doc;MSN2
Cbf1p;NOP4;+;Doc;CBF1
Tup1p;NOP4;+;Doc;TUP1
Stb5p;NOP4;+;Doc;STB5
Ixr1p;NOP4;+;Doc;IXR1
Crz1p;NOP4;+;Doc;CRZ1
Haa1p;NOP4;+;Doc;HAA1
Hap2p;NOP4;+;Doc;HAP2
Gcn4p;NOP4;+;Doc;GCN4
Fkh2p;NOP4;+;Doc;FKH2
Msn4p;NOP4;+;Doc;MSN4
Sfp1p;NOP4;+;Doc;SFP1
Ste12p;NOP4;+;Doc;STE12
Gat1p;NOP4;+;Doc;GAT1
Snf2p;NOP4;+;Doc;SNF2
Ume6p;NOP4;+;Doc;UME6
Pdr3p;SSN3;+;Doc;PDR3
Gcr2p;SSN3;+;Doc;GCR2
Rpn4p;SSN3;+;Doc;RPN4
Pdr1p;SSN3;+;Doc;PDR1
Yap1p;SSN3;+;Doc;YAP1
Met28p;SSN3;+;Doc;MET28
Met32p;SSN3;+;Doc;MET32
Cbf1p;SSN3;+;Doc;CBF1
Ino2p;SSN3;+;Doc;INO2
Ixr1p;SSN3;+;Doc;IXR1
Tec1p;SSN3;+;Doc;TEC1
Haa1p;SSN3;+;Doc;HAA1
Hap2p;SSN3;+;Doc;HAP2
Gcn4p;SSN3;+;Doc;GCN4
Ste12p;SSN3;+;Doc;STE12
Rgm1p;SSN3;+;Doc;RGM1
Pdr3p;ISM1;+;Doc;PDR3
Rpn4p;ISM1;+;Doc;RPN4
Pdr1p;ISM1;+;Doc;PDR1
Yap1p;ISM1;+;Doc;YAP1
Met28p;ISM1;+;Doc;MET28
Met32p;ISM1;+;Doc;MET32
Msn2p;ISM1;+;Doc;MSN2
Flo8p;ISM1;+;Doc;FLO8
Cbf1p;ISM1;+;Doc;CBF1
Met31p;ISM1;+;Doc;MET31
Ixr1p;ISM1;+;Doc;IXR1
Msn4p;ISM1;+;Doc;MSN4
Sfp1p;ISM1;+;Doc;SFP1
Pdr3p;EGD1;+;Doc;PDR3
Rpn4p;EGD1;+;Doc;RPN4
Pdr1p;EGD1;+;Doc;PDR1
Yap1p;EGD1;+;Doc;YAP1
Met32p;EGD1;+;Doc;MET32
Swi6p;EGD1;+;Doc;SWI6
Cbf1p;EGD1;+;Doc;CBF1
Met31p;EGD1;+;Doc;MET31
Cst6p;EGD1;+;Doc;CST6
Tup1p;EGD1;+;Doc;TUP1
Aft1p;EGD1;+;Doc;AFT1
Ixr1p;EGD1;+;Doc;IXR1
Gcr1p;EGD1;+;Doc;GCR1
Hfi1p;EGD1;+;Doc;HFI1
Skn7p;EGD1;+;Doc;SKN7
Spt10p;EGD1;+;Doc;SPT10
Sfp1p;EGD1;+;Doc;SFP1
Mga2p;EGD1;+;Doc;MGA2
Hsf1p;EGD1;+;Doc;HSF1
Rap1p;EGD1;+;Doc;RAP1
Snf2p;EGD1;+;Doc;SNF2
Bas1p;SVL3;+;Doc;BAS1
Pdr3p;SVL3;+;Doc;PDR3
Gcr2p;SVL3;+;Doc;GCR2
Rpn4p;SVL3;+;Doc;RPN4
Pdr1p;SVL3;+;Doc;PDR1
Yap1p;SVL3;+;Doc;YAP1
Met28p;SVL3;+;Doc;MET28
Met32p;SVL3;+;Doc;MET32
Swi6p;SVL3;+;Doc;SWI6
Rph1p;SVL3;+;Doc;RPH1
Cbf1p;SVL3;+;Doc;CBF1
Tup1p;SVL3;+;Doc;TUP1
Cup9p;SVL3;+;Doc;CUP9
Gal4p;SVL3;+;Doc;GAL4
Pip2p;SVL3;+;Doc;PIP2
Aft1p;SVL3;+;Doc;AFT1
Ixr1p;SVL3;+;Doc;IXR1
Gcr1p;SVL3;+;Doc;GCR1
Haa1p;SVL3;+;Doc;HAA1
Hap2p;SVL3;+;Doc;HAP2
Mal33p;SVL3;+;Doc;MAL33
Mot3p;SVL3;+;Doc;MOT3
Usv1p;SVL3;+;Doc;USV1
Hfi1p;SVL3;+;Doc;HFI1
Gsm1p;SVL3;+;Doc;GSM1
Swi4p;SVL3;+;Doc;SWI4
Spt10p;SVL3;+;Doc;SPT10
Sfp1p;SVL3;+;Doc;SFP1
Cup2p;SVL3;+;Doc;CUP2
Pho2p;SVL3;+;Doc;PHO2
Hap5p;SVL3;+;Doc;HAP5
Hsf1p;SVL3;+;Doc;HSF1
Rap1p;SVL3;+;Doc;RAP1
Gzf3p;SVL3;+;Doc;GZF3
Gln3p;SVL3;+;Doc;GLN3
Ume6p;SVL3;+;Doc;UME6
Fhl1p;SVL3;+;Doc;FHL1
Hcm1p;SVL3;+;Doc;HCM1
Ime1p;SVL3;+;Doc;IME1
Pul4p;SVL3;+;Doc;PUL4
Pdr3p;PHO85;+;Doc;PDR3
Rpn4p;PHO85;+;Doc;RPN4
Pdr1p;PHO85;+;Doc;PDR1
Yap1p;PHO85;+;Doc;YAP1
Met28p;PHO85;+;Doc;MET28
Met32p;PHO85;+;Doc;MET32
Ecm22p;PHO85;+;Doc;ECM22
Sut2p;PHO85;+;Doc;SUT2
Tup1p;PHO85;+;Doc;TUP1
Cup9p;PHO85;+;Doc;CUP9
Gal4p;PHO85;+;Doc;GAL4
Hms1p;PHO85;+;Doc;HMS1
Rgt1p;PHO85;+;Doc;RGT1
Stb5p;PHO85;+;Doc;STB5
Tye7p;PHO85;+;Doc;TYE7
Yap7p;PHO85;+;Doc;YAP7
Aft1p;PHO85;+;Doc;AFT1
Gcn4p;PHO85;+;Doc;GCN4
Skn7p;PHO85;+;Doc;SKN7
Spt10p;PHO85;+;Doc;SPT10
Oaf1p;PHO85;+;Doc;OAF1
Snf1p;PHO85;+;Doc;SNF1
Aca1p;PHO85;+;Doc;ACA1
Phd1p;PHO85;+;Doc;PHD1
Spt23p;PHO85;+;Doc;SPT23
Pho4p;PHO85;+;Doc;PHO4
Sum1p;PHO85;+;Doc;SUM1
Kar4p;PHO85;+;Doc;KAR4
Znf1p;PHO85;+;Doc;ZNF1
YGR067C;PHO85;+;Doc;YGR067
Oaf3p;PHO85;+;Doc;OAF3
Pdr3p;TRM44;+;Doc;PDR3
Gcr2p;TRM44;+;Doc;GCR2
Yap1p;TRM44;+;Doc;YAP1
Met32p;TRM44;+;Doc;MET32
Cst6p;TRM44;+;Doc;CST6
Tup1p;TRM44;+;Doc;TUP1
Fkh1p;TRM44;+;Doc;FKH1
Ixr1p;TRM44;+;Doc;IXR1
Haa1p;TRM44;+;Doc;HAA1
Hap2p;TRM44;+;Doc;HAP2
Asg1p;TRM44;+;Doc;ASG1
Gsm1p;TRM44;+;Doc;GSM1
Gcn4p;TRM44;+;Doc;GCN4
Swi4p;TRM44;+;Doc;SWI4
Spt10p;TRM44;+;Doc;SPT10
Sfp1p;TRM44;+;Doc;SFP1
Cup2p;TRM44;+;Doc;CUP2
Pho2p;TRM44;+;Doc;PHO2
Gat3p;TRM44;+;Doc;GAT3
Gat1p;TRM44;+;Doc;GAT1
Rgm1p;TRM44;+;Doc;RGM1
Tbs1p;TRM44;+;Doc;TBS1
Mac1p;TRM44;+;Doc;MAC1
Hap4p;SUV3;+;Doc;HAP4
Pdr3p;SUV3;+;Doc;PDR3
Yap1p;SUV3;+;Doc;YAP1
Met28p;SUV3;+;Doc;MET28
Met32p;SUV3;+;Doc;MET32
Cbf1p;SUV3;+;Doc;CBF1
Met31p;SUV3;+;Doc;MET31
Hap2p;SUV3;+;Doc;HAP2
Ste12p;SUV3;+;Doc;STE12
Sut1p;SUV3;+;Doc;SUT1
Sdd4p;SUV3;+;Doc;SDD4
Pdr3p;ERG10;+;Doc;PDR3
Rpn4p;ERG10;+;Doc;RPN4
Pdr1p;ERG10;+;Doc;PDR1
Yap1p;ERG10;+;Doc;YAP1
Met32p;ERG10;+;Doc;MET32
Ecm22p;ERG10;+;Doc;ECM22
Met31p;ERG10;+;Doc;MET31
Cst6p;ERG10;+;Doc;CST6
Tup1p;ERG10;+;Doc;TUP1
Cup9p;ERG10;+;Doc;CUP9
Gal4p;ERG10;+;Doc;GAL4
