gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
SAS3	24.066575	30.015117	9.6788211	46.788943	50.583085	39.198792	41.932979	43.548237	62.539566	50.397549	47.969598	59.481811	30.222159	58.943075	106.87294	52.210161	63.367065	55.349313
SAS4	141.26033	171.81067	152.71029	279.71651	343.04529	305.94179	90.486955	87.096474	162.17887	177.99985	131.39499	156.41513	228.55508	218.27357	193.70721	178.17753	208.40724	208.07242
SAT4	1076.7177	993.60386	1100.1593	774.05187	1030.9752	1226.6354	2101.063	1909.1547	1636.6286	1716.7335	1929.2121	1688.6225	1316.5528	1223.9898	945.1576	1056.6342	1023.7301	1018.8373
SAW1	40.808541	38.295149	27.961039	86.45783	136.11448	91.782537	58.485471	65.322356	86.919396	105.08425	64.654675	94.730292	251.2217	226.56244	290.56082	212.15557	249.24379	213.19735
SBA1	682.2351	673.78762	846.35914	476.02664	1703.2704	1799.3202	1423.5143	1476.2852	1561.3692	1567.6855	1806.1596	1919.9407	2363.9395	1494.7595	1596.4146	1809.9522	2009.4401	1827.5523
SBE2	1152.0565	989.46384	1271.1518	1404.6855	1320.6784	1346.1439	1486.4138	1414.4467	1346.1907	1822.8901	1686.2356	1719.465	1695.2742	1466.209	1330.0672	1296.138	1264.525	1336.5834
SBH1	396.57531	366.39142	375.32317	349.89993	336.60744	326.01922	84.969458	110.61252	153.69893	204.80706	184.57867	163.02422	586.49878	518.51486	587.80119	474.03511	474.54891	452.01939
SBP1	2467.3472	2419.8394	2257.3162	983.58496	1998.4917	2274.486	1760.0816	1765.4455	1594.2289	1573.0469	1673.7218	1653.3741	2530.1614	1806.9736	1758.3939	2243.3794	2381.1935	2149.3983
SCC2	64.875116	76.590298	77.430569	212.58455	251.99573	200.7743	297.94485	303.09573	316.9378	325.97564	280.51787	335.96208	424.99911	299.3203	291.39576	280.94039	337.95768	285.97145
SCC4	234.38752	229.77089	219.38661	294.97377	482.83854	446.4838	128.00594	205.54768	316.9378	285.22868	251.31898	339.26663	347.55483	267.08581	300.58015	287.57025	325.28427	313.64611
