gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
AAC	2266.4436	2567.845	1962.6498	3496.9649	3002.7959	3296.5228	13961.475	13056.632	12598.013	10044.124	10749.361	10910.506	6774.4859	7158.8206	7881.0447	12735.964	12677.638	12711.892
AAH1	37.669422	35.190137	41.941558	26.445925	25.751389	56.408018	199.7334	178.54777	198.21862	141.54205	115.75273	140.99392	182.2774	439.3101	450.03529	116.02258	118.28519	183.47272
AAR2	35.576677	24.840096	27.961039	33.565981	42.305853	36.330588	16.552492	17.419295	16.959882	46.108396	37.541424	51.771206	43.444354	37.760407	37.572519	32.320576	16.897884	33.82458
AAT1	33.483931	42.435165	31.187312	63.063359	86.451091	87.002197	33.104984	43.548237	118.71918	170.49384	128.26653	150.90756	80.27761	168.54035	175.33842	212.98431	176.01963	183.47272
AAT2	559.80947	837.31825	530.18431	892.04138	915.094	917.82537	614.6492	705.48144	888.27383	1130.1918	1102.2579	1127.9514	664.8875	780.07476	849.13894	699.45041	680.13984	746.19073
ABD1	244.85125	272.20606	183.8976	605.20481	592.28194	594.67436	104.83245	146.32208	273.4781	332.40937	321.18774	305.11966	498.66563	704.55394	665.45106	399.44917	401.32475	470.46916
ABF1	342.16392	363.28641	331.23077	465.85513	431.33576	510.54036	1031.772	731.61039	634.93559	769.90298	780.02737	665.31508	353.22149	348.13254	396.59881	541.99119	494.26311	467.3942
ABF2	5194.1948	4729.9684	5509.4001	3203.0083	3193.1722	3133.9912	2566.7397	2499.6688	2376.5035	2337.5884	2336.9537	2285.6437	4029.936	3049.3831	2973.2387	2825.1498	2976.8439	2693.6666
ABP1	2721.6158	2230.4337	2707.9191	2513.38	2369.1278	2947.5579	350.91283	359.70844	401.73721	493.25261	381.67115	426.28631	1903.0516	1804.2107	2155.8277	1712.9905	1791.1757	1777.3279
ABP140	34.530304	26.910105	32.262737	258.35634	290.62282	191.21362	167.73192	205.54768	255.45823	305.60216	257.57588	253.34846	139.77749	129.85896	122.7369	223.75783	197.14198	195.77257
ABZ1	84.7562	67.275261	87.10939	50.857547	73.575397	86.046129	22.069989	27.870872	45.579683	31.09636	19.81353	22.030301	72.72207	104.07137	107.70789	87.016935	77.448636	122.99847
ABZ2	533.65015	613.75738	553.84365	323.454	380.75268	440.74739	1114.5344	971.99666	1140.5521	1312.4809	1411.9747	1256.8286	594.99876	617.9813	564.42273	795.5834	746.32322	674.44162
ACAD11	34.530304	46.575181	26.885614	18.308717	19.313542	25.813839	113.66044	68.806215	122.95915	119.024	107.41019	120.06514	85.944265	89.335598	65.1257	744.20197	809.69028	555.5431
ACB1	5216.1686	5701.8371	5012.5539	2063.7993	1685.7963	2061.2828	2561.2222	2528.4107	2784.6007	2559.5521	2423.5075	2331.9073	2773.8275	2667.1741	2918.9673	4515.7645	4282.2055	3957.4759
ACC1	14951.622	17021.676	12668.501	18502.993	14065.776	17954.003	12106.493	13651.501	11499.86	29691.662	29222.87	27726.235	6147.3761	4848.0679	4718.2735	29140.728	31407.534	28859.542
ACF2	313.91185	318.78124	318.32567	925.60736	524.2247	466.56123	92.693954	96.677087	107.05926	190.86731	123.05245	147.60301	696.0541	679.68733	677.97524	513.81428	575.93622	515.5686
ACH1	4008.6544	2751.0407	3082.1668	12403.139	6512.3423	5005.9726	4265.0254	3869.6964	3506.4557	5150.2006	5049.3216	4975.5434	7645.2618	6401.7705	6441.5997	5811.0738	5971.9939	6186.8232
ACK1	63.828744	64.170249	30.111888	149.52119	307.17728	274.39154	148.97243	190.74128	275.59809	239.12029	239.84799	214.79543	89.722035	149.19966	184.52282	158.28795	140.8157	167.07293
ACN9	431.10561	406.75658	466.73426	828.97802	827.72321	630.04888	378.50031	450.28877	559.67611	570.45736	614.21942	543.04691	531.72111	515.7519	446.69551	523.75907	482.99785	552.46814
ACO2a	65.921489	110.74543	39.790709	96.62934	150.82956	196.95003	444.71028	422.4179	390.07729	255.20461	186.6643	233.52119	216.27733	195.24894	240.46412	293.37138	305.57007	314.67109
ACO2b	22436.327	18649.737	19589.934	11284.273	20968.988	21844.244	41930.772	41673.921	38334.634	32539.66	32612.027	34070.961	9804.2573	8839.6193	10563.723	24827.175	24234.382	24775.992
ACP1	608.989	554.76215	558.14535	1490.1261	1213.994	1035.4217	1195.0899	1435.3499	1644.0486	728.08374	707.03016	594.81811	1157.8865	925.59047	1077.9138	1555.5313	1575.7277	1504.6813
ACS1	314.95823	277.38108	306.496	4114.3756	412.02222	341.31631	38.622481	48.774026	52.999632	225.18054	100.11047	160.82119	244.6106	308.53016	347.33707	270.9956	226.71328	247.02193
ACS2	2630.5813	2452.9595	2878.9116	2102.451	3034.0654	4281.2729	2127.5469	2248.831	1818.9474	5039.7549	4025.275	4517.3131	2500.8837	2586.1274	2589.999	5709.1396	5956.5042	6261.6472
ACT	8647.2252	7512.0592	9360.4954	6186.312	6935.4008	9077.8666	1265.7139	1342.1567	1328.1708	2087.7453	1736.2909	1876.9816	13024.806	11942.42	12516.659	8254.1778	9037.5517	9238.2103
ADA2	337.97843	302.22117	379.62487	413.98043	572.04871	457.95662	207.4579	236.03145	324.35775	307.74674	250.27616	276.48027	482.6101	372.99915	369.88058	512.15681	554.81386	588.34269
ADD66	217.64555	256.681	232.29171	365.15719	354.0816	472.29764	78.348461	132.38664	274.53809	231.61427	208.56347	196.06967	415.55469	466.93967	516.83088	313.26096	322.46796	293.14636
ADE1	278.33518	247.36596	348.43756	340.74557	478.24008	618.57606	456.84877	431.12755	466.39676	475.02371	370.20016	407.56056	257.8328	226.56244	274.69686	285.08405	243.61116	278.79654
ADE13	1662.6865	964.62375	1618.514	2721.8959	2928.3008	3373.9643	626.78769	569.61094	743.05484	730.22832	589.1918	641.08174	904.77589	829.80798	945.99254	1282.0495	1319.4431	1298.6589
ADE17	1613.5069	1645.6564	1735.7353	845.25244	1434.7202	1871.0253	918.11155	904.06141	856.47405	879.27639	677.83127	729.20295	2394.1617	1924.8598	2208.4292	2871.5588	3012.0478	2984.7629
ADE2	405.99266	363.28641	463.50799	152.57264	317.2939	463.69303	229.52789	203.80575	236.37836	238.048	189.79276	235.72422	495.8323	383.12999	441.68584	610.77601	646.34407	648.81694
ADE3	709.44079	495.76693	743.11838	730.31438	1202.038	1495.2905	120.28144	146.32208	137.79904	220.89139	142.86598	132.1818	609.1654	496.41121	527.68516	644.75405	651.9767	726.71598
ADE4	79.524336	61.065237	52.695804	476.02664	569.28963	553.56343	423.74379	492.09508	921.1336	1027.2522	935.40716	886.7196	217.22177	381.28802	384.90959	476.52131	435.12052	503.26875
ADE5pc2C7	1415.7425	1108.4893	1338.9036	3089.0874	4444.8737	5065.2488	3105.2475	3191.2148	2920.2797	4695.5504	4521.656	4587.8101	1520.5524	1435.8165	1350.9408	4029.2984	3803.4321	3949.276
ADE6	425.87375	283.5911	395.75624	785.24053	942.68477	1176.9198	908.18005	891.8679	920.07361	588.68627	453.62555	465.94086	963.33132	817.83516	758.96489	1197.5188	1408.157	1265.8593
ADE8	130.79661	128.3405	117.22128	303.11098	239.12004	288.73257	30.897985	57.483673	84.799411	102.93967	81.339753	99.136352	155.83301	136.30586	171.1637	224.58656	222.48881	195.77257
ADH1	135057.44	107454.12	139560	72431.319	78087.408	74347.679	53278.057	55470.003	52603.195	41441.797	45350.041	44142.113	83213.882	91081.786	85666.179	65081.208	62384.172	60744.846
ADH2	15347.151	10333.48	14536.514	5526.1811	9155.5384	11612.403	3988.047	3922.8252	4068.2517	2605.6605	2266.0421	2657.9558	37623.755	49606.123	41867.476	14056.964	13956.244	15180.061
ADH3	1011.8425	699.66272	910.88461	9420.8521	1152.3747	699.84185	754.79363	675.86864	648.7155	453.57794	452.58273	424.08328	804.66499	611.5344	697.17897	682.87575	661.83379	655.99185
ADH4a	61.735998	68.310265	49.46953	104.76655	103.00556	77.441516	7.7244962	8.7096474	6.3599558	15.012036	10.428173	14.319695	34.944372	31.313508	42.582189	22.375783	18.306041	36.899542
ADH4b	1011.8425	1244.0748	985.0889	6549.4349	1952.5071	1696.0648	1562.5552	1340.4147	1284.7111	2778.2989	2420.3791	2762.5997	6404.2644	6285.7263	6033.3117	5410.7959	5641.077	5641.5299
ADH6	300.30901	333.27129	255.95105	236.99617	486.51731	485.68259	16487.385	16098.041	14233.581	5060.1284	6129.6804	5569.26	1171.1087	1223.9898	1422.7461	1696.4159	1434.912	1467.7818
ADI1	266.82508	200.79078	341.98501	120.02381	198.65357	217.98353	114.76394	130.64471	145.21899	391.38522	413.99849	369.00753	218.16621	168.54035	145.28041	419.33875	408.36553	417.16982
ADK1	3183.0662	2804.8609	3071.4126	2451.3338	3044.182	2815.6205	1295.5084	1362.1889	1222.1715	994.01123	987.54803	950.60747	2566.0502	2257.3356	1952.1011	2146.4177	2012.2564	2334.921
ADK2	128.70386	109.71043	168.84166	163.7613	209.68988	219.89566	35.311983	46.161131	60.41958	126.53002	105.32455	101.33938	118.05531	111.43925	166.98897	362.15619	366.12082	399.74504
ADO1	390.29707	438.8417	419.41558	999.85938	1112.8279	1084.1812	617.95969	749.90065	756.83474	1037.9751	894.73728	897.73475	906.66477	846.38571	945.1576	1408.0169	1364.5041	1472.9067
ADP1	1754.7673	1695.3366	1553.9885	1801.3743	1387.8159	1212.2943	166.62842	178.54777	251.21826	394.60209	320.14493	362.39844	719.66516	905.32879	1018.6327	866.02568	846.30236	815.88987
ADR1	1512.0088	1159.2045	1737.8861	3310.8263	2656.9915	1786.8913	1455.5158	1253.3183	1438.41	2427.6607	2231.6291	2394.6937	786.72058	661.26762	668.79084	1210.7785	1285.6473	1201.2851
ADY2	1412.6033	986.35883	792.58791	24311.942	3670.4926	1521.1043	366.36182	377.12773	396.43725	1323.2037	1189.8546	1198.4483	211.55511	361.02633	308.09466	311.6035	280.22324	320.82102
AEP1	18.834711	14.490056	17.206793	74.252019	100.24648	93.694674	88.279956	70.548144	92.21936	114.73485	104.28173	91.425747	105.77756	115.12319	129.41646	159.11668	167.57068	192.69761
AEP2	52.318642	79.69531	38.715284	338.71126	319.13328	239.01702	103.72895	99.289981	158.9989	149.04807	108.453	165.22725	79.333168	144.59473	126.07668	213.81304	198.55014	219.34728
AEP3	41.854914	26.910105	37.63986	172.91566	160.02649	108.99176	83.865959	108.87059	162.17887	158.69867	134.52344	140.99392	66.110973	99.466439	109.37778	183.14993	163.34621	177.3228
AFG1	731.41462	960.48373	540.93856	3049.4185	881.98507	856.63701	523.05874	519.96595	520.45639	666.96331	601.70561	646.58932	478.83233	597.71962	637.89788	422.65368	461.8755	446.89445
AFG2	95.219929	69.345269	77.430569	176.98426	336.60744	282.04009	363.05132	374.51484	442.01693	358.14429	238.80517	321.64239	295.61049	313.13508	323.95861	363.81366	360.48819	383.34524
AFG3	2533.2687	2847.2961	2753.0869	4635.1569	4754.81	4246.8545	3429.6763	3521.3105	3671.8145	3749.7921	3436.0832	3511.6299	1564.9412	1480.0238	1603.0942	4200.8461	4156.8795	4205.5228
AFI1	83.709828	82.800322	54.846653	477.04379	481.91885	347.05272	83.865959	89.709369	154.75893	182.28901	181.45022	159.71968	85.944265	104.99235	133.59118	185.63613	226.71328	206.02244
AFT1	334.83931	440.91171	369.94605	668.26817	894.86076	936.94674	1207.2284	1211.512	1284.7111	1384.3242	1184.6405	1239.2044	794.27612	1006.6372	1029.487	1240.6129	1178.6274	1269.9592
AGC1	219.7383	175.95068	181.74675	325.4883	610.67579	636.74135	968.87252	873.57764	834.21421	894.28842	885.35193	968.23171	251.2217	249.58708	273.86192	545.30612	488.63048	417.16982
AGE2	237.52664	239.08593	210.78322	130.19532	320.05298	357.56947	141.24793	135.8705	165.35885	211.24079	189.79276	198.2727	306.9438	288.26848	308.09466	312.43223	306.97823	283.92147
AGP1	288.79891	309.4662	189.27472	370.24294	401.9056	330.79956	154.48992	134.12857	172.7788	111.51798	86.55384	117.86211	293.72161	287.34749	287.22104	270.16686	277.40693	296.22132
AGP2	511.67632	585.81228	437.6978	1582.6869	875.54722	842.29599	133.52343	159.38655	230.0184	651.95127	435.89765	563.97569	195.49959	228.40441	297.24037	416.02382	336.54953	383.34524
AGX1	1564.3274	1651.8664	1505.5944	2154.3257	1505.5366	1599.5019	2131.9609	2131.2507	2223.8646	2895.1784	3016.8706	2881.5633	1142.7754	1063.7383	1178.1072	1716.3054	1715.1352	1671.7542
AHA1	776.40865	734.85285	897.97951	1121.9175	2485.9287	2493.4256	1368.3393	1444.9305	1376.9304	1600.9264	1597.5962	1710.6528	2774.772	1865.9167	2069.8283	2510.2314	2828.9874	2698.7915
AHC1	634.10194	655.15754	586.10639	1395.5311	1031.8949	943.63921	1474.2753	1522.4464	1776.5477	1998.7454	2259.7852	1969.5089	560.05439	572.85301	561.9179	968.78854	847.71052	969.63796
AHP1	4285.9432	4377.032	4398.4865	405.84323	1022.698	1507.7194	9039.8675	8595.5511	9230.4159	2118.8416	1670.5934	1677.6074	6034.043	5583.0144	6459.1335	9091.1978	7892.72	7715.0792
AIM1	39.762168	46.575181	40.866134	120.02381	105.76463	95.60681	70.623965	62.709462	91.159367	93.28908	60.483406	87.019687	132.22195	137.22685	151.12502	225.4153	243.61116	237.79705
AIM10	409.13178	411.9316	446.3012	1088.3515	873.70784	900.61615	296.84135	270.87004	362.51748	412.83099	391.0565	419.67722	336.22152	387.73491	489.2777	775.69382	747.73137	781.0403
AIM11	52.318642	44.505173	52.695804	137.31538	161.86587	130.98133	107.03945	150.6769	192.91866	186.57816	206.47783	180.64846	101.99979	103.15038	114.38745	174.8626	192.91751	180.39776
AIM14	145.44583	132.48051	180.67133	254.28774	287.86374	308.81	40.82948	58.354638	52.999632	84.710774	56.312137	83.715142	192.66626	217.35259	214.58083	174.03387	221.08065	215.24733
AIM17	727.22913	703.80273	647.40559	1259.2329	1140.4186	1220.899	169.93892	193.35417	275.59809	921.09563	770.64202	844.86202	560.99883	648.37382	689.66447	626.52193	580.16069	620.1173
AIM18	1328.8935	1306.1751	1236.7383	1765.774	1894.5665	1744.8243	753.69013	854.41641	1068.4726	974.71005	831.12542	902.14081	830.16493	878.62021	904.2453	989.50686	967.40387	946.06325
AIM19	634.10194	720.3628	624.82167	87.474981	152.66895	184.52114	367.46532	418.06308	516.21642	411.7587	400.44186	384.42874	450.49906	303.92523	370.71552	567.68191	518.20178	525.81847
AIM2	1745.3499	1667.3915	1708.8496	1396.5482	1290.3285	1327.0225	3988.047	4268.5982	4573.8682	2029.8417	1965.7107	2103.8937	2005.0514	1643.9592	1984.664	2412.4409	2376.969	2230.3723
AIM22	34.530304	45.540177	33.338162	214.61885	266.71081	162.53158	79.451961	98.419016	137.79904	139.39748	109.49582	129.97877	77.444283	118.80714	109.37778	244.47615	201.36645	193.72259
AIM23	263.68596	338.44631	254.87562	1002.9108	907.73646	733.30423	314.49734	369.28905	567.09606	461.08396	387.92805	426.28631	401.38805	429.17926	460.88957	740.88704	795.60871	683.66651
AIM24	907.20526	789.70807	915.18631	1168.7064	1625.0966	1448.4432	476.71176	475.54675	659.31542	986.50522	1014.6613	978.14534	854.72044	756.12913	738.92621	885.91527	818.13922	940.93832
AIM25	281.4743	336.37631	222.61289	434.32345	483.75823	419.71389	104.83245	120.19313	203.51859	182.28901	135.56625	170.73483	295.61049	311.29311	341.49245	406.07903	395.69212	391.54514
AIM27	96.266302	81.765318	77.430569	314.29964	277.74712	266.743	19.86299	29.612801	31.799779	58.975855	60.483406	62.786356	147.33303	161.17247	239.62918	147.51442	160.5299	170.14789
AIM29	288.79891	287.73112	364.56893	390.58596	683.3315	501.93575	391.74231	427.64369	473.81671	376.37319	321.18774	521.01661	604.44318	398.78674	475.91858	662.98617	785.75161	690.84142
AIM3	299.26263	258.75101	234.44256	561.46732	687.92996	731.39209	244.97688	274.35389	343.43762	403.18039	364.98607	377.81965	296.55494	305.7672	400.77354	457.46046	453.42656	489.94392
AIM32	97.312675	98.325382	62.374625	269.545	216.12773	204.59857	39.72598	58.354638	122.95915	128.67459	114.70991	121.16665	135.05527	157.48853	177.84326	162.43161	160.5299	152.7231
AIM34	3777.406	3827.4449	4260.8321	1639.6473	2621.1235	2290.7392	993.14951	894.48079	1009.113	1119.469	836.33951	970.43474	2482.9393	2258.2566	2180.0411	1941.7207	2102.3784	2001.8001
AIM36	485.517	511.29199	603.31318	1155.4835	1316.9996	1042.1142	274.77136	386.70835	485.47663	479.31286	350.38663	391.03783	373.05478	422.73236	429.99661	827.90398	829.40448	797.4401
AIM37	638.28744	653.08754	596.86064	1218.5468	1140.4186	1044.0264	280.28886	336.19239	452.61686	405.32497	358.72917	393.24086	554.38773	543.38147	601.99525	838.6775	849.11868	898.91384
AIM39	864.30397	914.94355	809.7947	1095.4716	1641.651	1515.3679	1305.4399	1360.4469	1564.5491	1540.8783	1489.1432	1428.665	590.27655	564.56414	647.91722	973.76093	887.13892	845.6145
AIM4	133.93572	110.74543	107.54246	183.08717	253.83512	217.98353	222.90689	274.35389	268.17814	297.02385	350.38663	369.00753	188.88849	196.16992	175.33842	291.71391	349.22294	250.09689
AIM41	174.74427	142.83055	222.61289	213.6017	497.55362	336.53597	62.899469	60.967532	89.039382	76.132468	67.783127	44.060601	145.44414	133.5429	144.44546	234.53136	328.10058	276.74656
AIM43	239.61938	249.43597	292.51548	245.13338	313.61513	266.743	81.65896	100.16095	105.99926	110.44569	110.53864	125.57271	334.33264	336.15972	335.64784	175.69133	180.2441	168.09791
AIM44	548.29937	633.42246	687.1963	195.29298	257.51389	339.40417	73.934463	82.741651	109.17924	171.56612	158.50824	182.85149	563.83216	372.99915	359.86124	317.40463	344.99847	298.2713
AIM45	305.54087	360.1814	333.38162	682.50828	583.08502	477.07798	47.450477	56.612708	62.539566	88.999927	78.211301	66.090902	577.99879	556.27527	526.85021	406.90776	421.03895	450.9944
AIM5	87.895319	75.555293	49.46953	200.37874	237.28065	195.99396	126.90244	152.41883	253.33824	180.14443	200.22093	158.61816	205.88846	220.11554	236.2894	285.08405	240.79485	315.69608
AIM6	349.48853	457.47178	423.71728	223.77321	271.30928	304.02965	462.36627	430.25658	468.51675	319.54191	234.6339	380.02268	442.94352	396.02378	434.17133	324.03449	439.34499	324.92097
AIM7	20.927457	12.420048	13.980519	20.343019	53.342163	61.188358	97.107952	139.35436	243.79831	241.26486	245.06208	190.5621	119.94419	132.62192	134.42612	199.72458	194.32567	203.97247
AIM9	340.07117	344.65634	323.70279	962.22479	793.69459	636.74135	192.00891	244.74109	367.81745	367.79488	223.16291	324.94693	700.77632	723.89464	833.27498	1030.9435	1188.4845	1108.0112
AIP1	220.78467	209.07081	276.38411	280.73366	353.1619	442.65953	40.82948	40.935343	36.03975	91.144504	50.055233	73.801507	639.38755	571.01104	602.8302	512.98555	574.52806	540.16829
AIR1	56.504134	63.135245	41.941558	126.12672	181.17941	204.59857	306.77285	321.38599	498.19654	518.98753	463.0109	429.59086	114.27754	192.48598	168.65886	232.04516	192.91751	259.32178
AKL1	523.18642	513.36199	545.24026	1564.3782	1319.7587	1209.4261	343.18833	353.61169	380.53736	576.89109	419.21257	480.26055	716.83184	758.89209	886.71146	954.70008	947.68967	1012.6874
AKR1	133.93572	104.53541	111.84416	342.77987	204.17173	160.61944	82.762459	85.354545	150.51895	194.08418	186.6643	161.92271	432.55465	452.2039	600.32536	466.57652	398.50843	517.61857
ALA1	855.93299	846.63329	777.53196	2191.9603	1673.8403	1286.8677	1146.5359	1171.4476	1161.7519	1166.6496	929.15026	1044.2362	1396.8304	1424.7646	1487.8718	1664.0953	1786.9512	1751.7032
ALB1	76.385218	78.660306	58.072927	74.252019	128.75694	156.79517	107.03945	161.12848	272.41811	174.78299	167.89359	137.68938	191.72182	300.24129	253.82324	155.80175	118.28519	270.59664
ALD2	159.04867	153.1806	120.44755	958.15619	269.46989	235.19275	82.762459	85.354545	90.099374	128.67459	70.91158	125.57271	210.61067	130.77995	168.65886	365.47113	360.48819	367.97043
ALD4	237.52664	143.86556	140.88062	13038.858	1000.6254	249.53377	27.587486	25.257978	80.559441	86.855351	55.269319	74.903022	63.277646	128.01699	131.92129	75.414677	64.775222	79.949007
ALD5	16188.434	16540.399	13370.754	90791.91	19969.282	15199.571	3565.4067	3559.6329	4324.77	6520.585	4444.4875	5220.0797	3542.6037	6790.4264	7360.874	4391.4546	3183.843	4331.5962
ALD6	27040.367	43774.46	26027.425	42885.118	14896.259	16191.013	12304.019	13196.858	12547.133	23742.607	19618.523	20103.751	16997.131	21701.182	20510.421	12275.189	11018.829	11521.882
ALDH22A1	43.94766	44.505173	37.63986	135.28108	109.4434	117.59638	23.173489	23.516048	23.319838	66.481873	29.198886	49.568176	118.05531	164.85641	186.19271	194.75219	184.46857	201.92249
ALE1	1197.0505	1670.4965	1327.0739	1286.6959	1045.6903	1326.0665	2492.8053	2189.6054	2064.8657	2792.2387	2726.9674	2816.5739	677.16525	659.42565	662.94623	1433.7076	1427.8712	1400.1326
ALF1	146.4922	136.62053	189.27472	89.509283	175.66126	171.13619	65.106468	53.128849	58.299595	142.61434	93.853561	91.425747	153.94412	70.915887	88.504157	269.33813	298.52929	284.94646
ALG1	118.24013	105.57041	76.355144	160.70985	352.24221	392.94399	382.91431	371.03098	387.95731	405.32497	375.41424	331.55602	343.77706	358.26338	431.6665	624.03573	663.24195	616.01735
ALG10	105.68366	143.86556	75.27972	319.3854	210.60957	216.07139	62.899469	76.644898	147.33898	121.16858	133.48062	140.99392	191.72182	198.01189	207.06633	230.38769	257.69273	210.12239
ALG11	31.391185	40.365157	37.63986	133.24677	134.2751	122.37672	45.243478	40.935343	65.719544	108.30112	80.296936	60.583326	109.55533	88.414612	129.41646	164.91781	252.0601	170.14789
ALG12	559.80947	551.65714	588.25724	465.85513	1026.3768	1153.9742	723.89564	839.61001	898.87376	792.42104	623.60477	825.03475	451.4435	487.20135	556.90823	634.80926	647.75222	647.79196
ALG13	87.895319	53.820209	60.223776	182.07002	187.61726	142.45415	28.690986	25.257978	60.41958	107.22883	111.58146	80.410597	108.61088	151.96261	166.98897	196.40965	146.44833	153.74809
ALG14	171.60515	157.32061	140.88062	274.63076	306.25759	348.00879	119.17794	171.58005	240.61833	319.54191	324.31619	330.45451	179.44407	157.48853	232.11467	305.80237	263.32536	261.37175
ALG2	470.86778	416.07162	475.33766	837.11523	890.2623	688.36903	333.25684	366.67616	413.39713	453.57794	361.85762	435.09843	1168.2753	1161.3628	1249.9125	748.34564	728.01717	774.89038
ALG3	128.70386	102.4654	126.9001	405.84323	189.45665	174.96046	15.448992	18.29026	13.779904	66.481873	44.841146	69.395447	78.388725	99.466439	144.44546	168.23274	139.40754	166.04794
ALG5	210.32094	142.83055	170.99251	93.577887	156.34772	141.49808	65.106468	90.580333	116.59919	145.83121	115.75273	144.29847	344.7215	301.16227	332.30806	308.28857	308.38639	354.6456
ALG6	253.22223	270.13605	283.91209	399.74032	371.55575	338.44811	65.106468	78.386827	105.99926	166.20468	166.85078	163.02422	269.1661	232.08836	292.23071	208.01191	268.95799	232.67211
ALG7	86.848946	97.290378	109.69331	51.874698	48.7437	78.397584	5.5174973	7.8386827	8.4799411	17.156612	15.64226	11.01515	135.99972	193.40696	203.72655	66.298617	81.673107	77.899033
ALG8	94.173556	103.5004	111.84416	230.89326	237.28065	189.30148	162.21442	158.51558	148.39897	141.54205	122.00963	172.93786	164.33299	137.22685	148.62019	185.63613	249.24379	196.79756
ALG9	469.82141	431.59668	464.58341	343.79702	477.32039	468.47337	96.004453	106.2577	130.37909	164.06011	127.22372	168.5318	312.61046	248.6661	227.93995	232.87389	354.85557	242.92198
ALK2	298.21626	222.52586	268.85614	103.7494	178.42034	201.73037	141.24793	107.99963	111.29923	188.72274	138.69471	170.73483	389.1103	345.36958	414.9676	319.89083	343.59031	447.91944
ALO1	381.92609	420.21163	407.58591	688.61119	801.05213	771.54695	317.80784	254.32171	367.81745	282.01182	176.23613	251.14543	1125.7754	1052.6865	1171.4277	1033.4297	1167.3622	1088.5365
ALR1	446.80121	349.83136	378.54945	847.28674	595.04102	624.31247	1190.6759	1146.1896	1005.933	1042.2642	997.9762	930.7802	718.72072	1005.7162	1040.3413	1006.9102	902.62864	1013.7124
ALT1	393.43619	433.66668	287.13836	3295.5691	1378.619	857.59308	244.97688	241.25723	254.39823	414.97556	350.38663	413.06813	842.44269	827.966	802.38202	637.29545	633.67065	748.24071
ALY2	648.75116	879.75342	585.03097	2044.4734	1571.7544	1541.1818	1948.78	2000.606	2068.0456	1937.6249	1730.034	1997.0467	910.44254	978.08665	1093.7778	1162.712	1170.1785	1115.1862
AMA1	49.179524	57.960225	36.564435	94.595038	80.013244	87.002197	39.72598	47.903061	93.279352	116.87942	110.53864	100.23787	42.499911	77.362786	118.56217	67.12735	54.918123	69.699134
AMD1	633.05557	638.59748	768.92857	1037.494	1313.3208	1073.6645	556.16372	564.38515	649.77549	619.78263	557.90728	621.25447	961.44244	816.91418	859.15827	948.89895	1222.2803	1034.2122
AML1	242.7585	233.91091	267.78072	143.41828	473.64162	472.29764	379.60381	387.57931	420.81708	304.52987	280.51787	284.19088	435.38798	391.41886	411.62782	345.58154	356.26372	342.34575
AMN1	153.81681	218.38585	167.76623	74.252019	48.7437	85.090061	151.17943	147.19304	140.97902	109.3734	101.15328	114.55756	242.72172	222.8785	211.24105	120.16624	154.89727	148.62315
ANP1	80.570709	75.555293	54.846653	549.26151	479.15977	456.04448	532.99024	506.90148	577.69599	822.44511	666.36028	688.44689	240.83283	372.99915	431.6665	571.82557	494.26311	537.09333
ANT1	336.93206	365.35642	255.95105	1262.2843	674.13457	551.65129	937.97454	927.57745	916.89363	1010.0956	871.7953	970.43474	722.49849	550.74936	647.08228	1064.0928	1060.3422	1070.0867
AO-I	127.65749	105.57041	61.2992	917.47015	346.72406	271.52334	323.32534	341.41818	397.49724	862.11978	710.15861	848.16657	350.38816	482.59643	686.32469	1001.9378	857.56762	931.71343
AOS1	179.97613	155.2506	214.00949	121.04096	229.00342	260.05052	19.86299	25.257978	29.679794	69.698738	53.183685	69.395447	135.99972	108.67629	171.99864	229.55896	256.28458	220.37226
APA2	514.81544	423.31664	608.69031	610.29057	920.61215	913.04503	221.80339	197.709	216.2385	337.77081	256.53307	359.0939	1223.9974	897.96091	885.04157	986.19192	1063.1585	1067.0118
APC1	133.93572	80.730314	108.61788	403.80893	320.97267	261.96266	809.9686	773.41669	663.55539	554.37304	452.58273	544.14842	305.05492	207.22175	200.38677	374.58718	415.40632	357.72056
APC11	21.97383	24.840096	11.82967	67.131962	94.728323	99.431082	60.69247	61.838497	69.959514	135.10832	132.4378	125.57271	54.777663	102.2294	115.22239	110.22145	112.65256	114.79857
APC2	49.179524	40.365157	33.338162	353.96853	297.98036	206.51071	147.86893	139.35436	240.61833	369.93946	382.71397	318.33784	98.222017	137.22685	198.71688	394.47677	346.40662	345.42071
APD1	59.643252	69.345269	66.676323	239.03047	215.20804	189.30148	103.72895	101.03191	126.13912	119.024	105.32455	114.55756	154.88857	178.6712	182.01798	142.54203	188.69304	153.74809
APE2	3313.8628	3112.2571	3665.0469	3189.7854	3487.4738	4553.7523	1517.3117	1457.995	1544.4093	2983.106	2796.8361	2823.183	5122.656	4592.0339	4734.9724	4974.0537	5167.9362	5318.659
APE3	727.22913	761.76296	682.8946	780.15477	867.26999	1025.8611	252.70138	239.5153	281.95804	265.92749	209.60629	218.09997	1342.9972	1172.4146	1295.8344	1180.9441	1470.1159	1336.5834
