Genes	SRR5318962	SRR5318963	SRR5318964	SRR5318965	SRR5318966	SRR5318967	SRR5318968	SRR5318969	SRR5318970	SRR5318971	SRR5318972	SRR5318973	SRR5318974	SRR5318975	SRR5318976	SRR5318977	SRR5318978	SRR5318979
KLMA_10002	0.772877384716705	0.816775377921211	0	2.23630825842532	0.787400741653094	0	0	0	0	1.27166306683672	1.56366380390948	0	3.52775280034683	7.46758099599908	0	2.12394471523743	1.63555809365938	1.72311831387626
KLMA_10003	0	0	0	0	0	0	1.68137270495815	0	0	1.90749460025507	0	0.810846519209487	0	0	0	1.06197235761872	1.63555809365938	0
KLMA_10004	64.9217003162032	53.9071749427999	53.6144190891485	62.0575541713025	44.8818422742263	34.3153820024824	90.7941260677402	88.2567723909866	59.4651435193855	47.0515334729585	61.7647202544246	54.3267167870356	112.888089611099	134.416457927983	67.4192243810303	65.8422861723604	86.6845789639471	79.2634424383082
KLMA_10005	34.7794823122517	36.7548920064545	32.0635251415496	31.8673926825608	40.9448385659609	52.2901059085447	32.786767746684	33.5375735085749	46.2506671817443	41.3290496721932	51.6009055290129	56.7592563446641	17.6387640017342	29.8703239839963	17.106370365336	19.1155024371369	35.9822780605064	63.7553776134218
KLMA_10006	467.590817753607	426.356747274872	268.072095445742	256.616372654305	121.259714214576	133.993396390646	392.600526607728	373.326147213873	337.569804625199	351.614837980352	150.893557077265	171.899462072411	338.664268833296	287.501868345964	262.633097961924	237.881808106593	160.284693178619	163.696239818245
KLMA_10010	53.3285395454527	64.5252548557757	64.6526818427967	82.7434055617367	48.0314452408387	67.8137311001439	34.4681404516421	37.9504121281242	58.8644855040382	56.5890064742338	68.0193754700625	84.3280379977866	70.5550560069367	67.2082289639917	51.3191110960081	70.0901756028353	91.5912532449253	70.6478508689268
KLMA_10011	12.3660381554673	7.3509784012909	20.4996308282038	22.3630825842532	19.6850185413273	18.7917568108832	10.0882362297489	9.70824496300853	17.4190824450725	25.4332613367343	17.2003018430043	24.3253955762846	14.1110112013873	0	20.1251416062777	10.6197235761872	22.8978133112313	15.5080648248864
KLMA_10012	117.477362476939	115.165328286891	134.036047722871	149.832653314496	233.070619529316	232.854377873988	91.6348124202193	105.908126869184	230.652677893374	204.101922227293	253.313536233336	255.416653550988	105.832584010405	112.013714939986	222.382814749369	174.16346664947	212.622552175719	208.497315979028
KLMA_10013	37.0981144664019	62.074928722012	51.5118928503583	52.5532440729949	67.7164637821661	70.2648298146069	45.3970630338701	46.7760893672229	46.8513251970916	54.0456803405604	50.0372417251035	59.1917959022925	38.8052808038152	48.539276473994	51.3191110960081	56.284534953792	71.9645561210127	56.8629043579167
KLMA_10014	27.0507084650847	22.0529352038727	19.9739992685063	16.2132348735835	18.1102170580212	14.7065922867782	21.857845164456	16.7687867542875	12.0131603069466	11.4449676015304	3.90915950977371	9.73015823051384	35.2775280034683	7.46758099599908	22.1376557669055	18.0535300795182	14.7200228429344	17.2311831387626
KLMA_10015	9.27452861660046	11.434855290897	2.10252623879014	9.5043100983076	6.29920593322475	8.1703290482101	14.2916679921443	9.70824496300853	6.00658015347329	5.72248380076522	3.90915950977371	2.43253955762846	10.5832584010405	11.2013714939986	8.05005664251108	18.0535300795182	11.4489066556157	6.89247325550506
KLMA_10016	17.7761798484842	14.7019568025818	27.3328411042718	19.5676972612215	10.2362096414902	17.1576910012412	18.4950997545397	21.1816253738368	15.6171083990305	22.2541036696425	11.7274785293211	16.2169303841897	3.52775280034683	0	18.1126274456499	18.0535300795182	11.4489066556157	17.2311831387626
KLMA_10017	2.31863215415012	4.90065226752727	1.05126311939507	1.11815412921266	0	0.81703290482101	0	0	2.40263206138931	1.90749460025507	2.34549570586422	1.62169303841897	0	0	1.00625708031388	0	0	5.16935494162879
KLMA_10018	85.7893897035543	83.3110885479635	64.6526818427967	69.3255560111848	55.1180519157166	43.3027439555135	81.5465761904704	85.609069219257	90.6993603174466	73.7564578765295	75.0558625876552	68.9219541328064	102.304831210058	70.9420194619912	74.4630239432275	64.7803138147417	50.7023009034408	70.6478508689268
KLMA_10019	1.54575476943341	4.90065226752727	0	0.559077064606329	0.787400741653094	0	0.840686352479076	0	0	0	4.69099141172845	2.43253955762846	3.52775280034683	0	4.02502832125554	1.06197235761872	3.27111618731876	0
KLMA_10020	14.6846703096174	11.434855290897	77.793470835235	88.3341762078	98.4250927066367	89.8736195303111	21.857845164456	22.0641930977466	50.4552732891756	59.1323326079072	103.201811058026	102.166661420395	10.5832584010405	48.539276473994	65.4067102204025	69.0282032452166	83.4134627766284	113.725808715833
KLMA_10021	30.1422180039515	27.7703628493212	31.0122620221545	32.4264697471671	26.7716252162052	23.6939542398093	36.1495131566003	29.1247348890256	34.2375068747977	27.3407559369894	20.3276294508233	27.5687816531225	45.8607864045089	41.0716954779949	27.1689411684749	36.1070601590364	21.2622552175719	34.4623662775253
KLMA_10022	17.0033024637675	16.3355075584242	73.5884183576548	70.4437101403975	103.149497156555	98.8609814833422	57.1666719685772	43.2458184715834	76.8842259644581	73.7564578765295	50.8190736270582	63.24602849834	10.5832584010405	3.73379049799954	63.3941960597747	60.5324243842668	71.9645561210127	84.432797379937
KLMA_10023	17.7761798484842	17.9690583142666	32.0635251415496	48.0806275561443	27.5590259578583	20.4258226205253	27.7426496318095	26.477031717296	31.8348748134084	29.2482505372444	22.6731251566875	20.2711629802372	28.2220224027747	18.6689524899977	47.2940827747526	44.6028390199861	31.0756037795282	27.5698930220202
KLMA_10024	86.562267088271	82.4943131700423	101.972522581322	101.192948693746	103.936897898208	90.6906524351321	104.245107707405	96.1998819061754	106.316468716477	107.455529147702	122.747608606894	120.005284843004	84.666067208324	85.8771814539894	56.3503964975775	72.2141203180727	76.8712304019908	91.325270635442
KLMA_10025	350.886332661384	379.800550733363	342.186145363095	367.872708510965	440.944415325733	444.46590022263	382.51229037798	383.916959900792	524.975105413565	510.572721334941	471.444636878709	474.34521373755	253.998201624972	205.358477389975	430.678030374343	468.329809709854	363.093896792382	339.454307833624
KLMA_10026	104.338446936755	115.982103664812	66.7552080815868	65.9710936235468	57.4802541406758	57.1923033374707	110.129912174759	125.324616795201	55.8611954273016	53.409848807142	50.8190736270582	42.9748655181028	42.333033604162	52.2730669719935	83.5193376660524	101.949346331397	50.7023009034408	51.6935494162879
KLMA_10027	1233.51230600786	1286.42122022591	434.171668310163	374.581633286241	685.826045979845	637.285665760388	970.992737113333	909.927323351072	429.47048097334	466.700345529074	638.756663897024	639.757903656285	888.993705687402	817.700119061899	544.385080449812	509.746731656984	642.774330808136	553.120978754281
KLMA_10028	5.41014169301694	5.71742764544848	2.62815779848767	2.79538532303165	1.57480148330619	1.63406580964202	2.52205905743723	0	0.600658015347329	1.90749460025507	0.781831901954742	2.43253955762846	0	7.46758099599908	1.00625708031388	1.06197235761872	0	5.16935494162879
KLMA_10029	19.3219346179176	33.4877904947697	58.3451031264263	72.1209413342165	22.0472207662866	37.5835136217665	36.1495131566003	39.715547575944	78.6862000105	94.7388984793353	36.7460993918729	46.2182515949407	31.7497752031215	14.9351619919982	57.3566535778914	57.3465073114107	32.7111618731876	56.8629043579167
KLMA_10030	36.3252370816851	36.7548920064545	182.919782774742	177.227429480206	127.558920147801	108.665376341194	62.2107900834516	67.9577147410597	141.154633606622	124.622980549998	101.638147254116	107.031740535652	21.166516802081	26.1365334859968	138.863477083316	126.374710556627	60.515649465397	60.3091409856693
KLMA_10031	39.416746620552	29.4039136051636	239.687991222076	232.576058876233	298.424881086523	316.191734165731	95.8382441826147	114.733804108283	160.375690097737	158.957883354589	209.530949723871	233.523797532332	17.6387640017342	41.0716954779949	153.957333288024	172.039521934232	171.733599834235	196.435487781894
KLMA_10032	302.967934808948	254.017142533497	252.828780214514	226.426211165563	240.157226204194	285.144483782533	249.683846686286	234.763014560024	232.454651939416	192.656954625762	243.931553409879	211.630941513676	275.164718427053	201.624686891975	273.701925845377	295.228315418003	299.307131139666	270.529575278573
KLMA_10033	221.042932028978	276.070077737369	219.713991953569	228.662519423989	245.669031395765	235.305476588451	181.58825213548	155.331919408136	106.316468716477	94.1030669459169	164.184699410496	121.626977881423	490.35763924821	507.795507727937	205.276444384032	211.332499166125	233.884807393291	294.653231672841
KLMA_10034	159.985618636358	169.072503229691	119.31836405134	114.051721179691	203.936792088151	201.80712749079	79.0245171330331	82.9613660475274	52.2572473352176	57.8606695410705	133.693255234261	137.033061746403	169.332134416648	156.819200915981	165.026161171477	156.109936569951	232.249249299632	182.650541270884
KLMA_10035	453.679024828706	445.959356344981	643.898660629479	647.970317878736	1133.85706798045	1196.13617265796	578.392210505604	563.960775578404	689.555401618733	677.796414623969	1229.03974987285	1200.86369494925	402.163819239539	410.716954779949	561.491450815148	559.659432465064	906.099183887296	975.284965653966
KLMA_10036	43.2811335441355	51.4568488090363	56.7682084473337	52.5532440729949	70.0786660071253	80.88625757728	58.0073583210562	50.3063602628624	43.848035120355	43.8723758058667	43.0007546075108	77.0304193249012	52.9162920052025	67.2082289639917	54.3378823369498	53.0986178809358	91.5912532449253	79.2634424383082
KLMA_10037	15.4575476943341	16.3355075584242	8.93573651485808	10.6224642275203	9.44880889983713	8.98736195303111	25.2205905743723	20.2990576499269	13.2144763376412	16.5316198688773	3.90915950977371	12.9735443073518	24.6942696024278	11.2013714939986	13.0813420440805	12.7436682914246	3.27111618731876	12.0618281971339
KLMA_10038	181.626185408426	189.491887677721	138.241100200451	119.083414761148	105.511699381515	107.848343436373	200.924038242499	191.517196088441	91.9006763481413	89.6522462119884	121.96577670494	107.031740535652	215.192920821157	145.617829421982	167.038675332105	153.985991854714	135.751321773729	130.956991854596
KLMA_10039	201.72099741106	161.7215248284	765.31955091961	814.575283131422	318.10989962785	282.69338506807	223.622569759434	234.763014560024	496.143520676893	527.740172737237	207.967285919961	243.253955762846	201.08190961977	209.092267887974	604.760505268645	549.039708888876	297.671573046007	189.543014526389
