gene_id	gene_name
KLMA_10321	DNAJA1
KLMA_10322	CAF20
KLMA_10323	MTG2
KLMA_10325	CDC23
KLMA_10326	PRP8
KLMA_10328	DNA2
KLMA_10330	MGA1
KLMA_10331	SOL3
KLMA_10332	CPD1
KLMA_10333	TDS4
KLMA_10334	SDA1
KLMA_10336	LSC2
KLMA_10338	FMP43
KLMA_10339	YAP1801
KLMA_10341	PFK1
KLMA_10342	LCB3
KLMA_10343	DYN1
KLMA_10344	RHO4
KLMA_10345	TRM2
KLMA_10347	GLG1
KLMA_10348	TIF1
KLMA_10349	UTP30
KLMA_10350	YUR1
KLMA_10351	RPB4
KLMA_10352	YAK1
KLMA_10353	TIM17
KLMA_10356	BIO2
KLMA_10357	SFH5
KLMA_10360	TFA2
KLMA_10361	RPA34
KLMA_10362	LAS1
KLMA_10363	OAF3
KLMA_10364	DAS1
KLMA_10365	PAM17
KLMA_10368	RIM1
KLMA_10369	GON7
KLMA_10370	FEN2
KLMA_10371	MNN11
KLMA_10373	ATP12
KLMA_10374	PFD1
KLMA_10375	ATG27
KLMA_10376	RPL17B
KLMA_10378	COY1
KLMA_10379	SWI3
KLMA_10380	KRE9
KLMA_10381	RFA3
KLMA_10382	STE3
KLMA_10383	SET2
KLMA_10384	LST4
KLMA_10385	ZRT3
KLMA_10386	TPO5
KLMA_10387	SNU114
KLMA_10388	EBP2
KLMA_10389	FPS1
KLMA_10390	QCR8
KLMA_10391	NNK1
KLMA_10392	rplN
KLMA_10394	GAP1
KLMA_10396	YNG2
KLMA_10398	RIM21
KLMA_10399	MSB3
KLMA_10400	MDY2
KLMA_10401	ERF4
KLMA_10402	TGL4
KLMA_10403	DIA2
KLMA_10404	ATX2
KLMA_10406	TVP38
KLMA_10407	RTS2
KLMA_10408	OMA1
KLMA_10409	PRP16
KLMA_10410	MRPL20
KLMA_10412	HBS1
KLMA_10413	UFE1
KLMA_10414	CDC21
KLMA_10415	SGO1
KLMA_10416	DAD2
KLMA_10417	NUP133
KLMA_10418	RPF2
KLMA_10419	folD
KLMA_10420	RAD7
KLMA_10421	PRP39
KLMA_10422	BFA1
KLMA_10424	GSF2
KLMA_10425	RSE1
KLMA_10426	AIM32
KLMA_10427	GAL80
KLMA_10428	SUR7
KLMA_10430	PES4
KLMA_10431	LSB3
KLMA_10432	YSD83
KLMA_10433	ARG4
KLMA_10434	DED81
KLMA_10436	HIS2
KLMA_10437	DAO1
KLMA_10439	PGS1
KLMA_10441	RER1
KLMA_10442	DOM34
KLMA_10444	EFM5
KLMA_10445	TFC3
KLMA_10446	NUP60
KLMA_10448	ERP1
KLMA_10449	SWD1
KLMA_10450	CDH1
KLMA_10451	RFA1
KLMA_10452	RPN14
KLMA_10453	COG7
KLMA_10454	PMC1
KLMA_10456	SEN34
KLMA_10457	PMA1
KLMA_10458	KYE1
KLMA_10459	PUF4
KLMA_10460	PDR1
KLMA_10461	SPC97
KLMA_10462	ENO
KLMA_10464	FMO1
KLMA_10465	STB5
KLMA_10466	SVP26
KLMA_10468	GND1
KLMA_10469	SSP1
KLMA_10471	MTM1
KLMA_10473	RAD2
KLMA_10475	TNA1
KLMA_10476	KOG1
KLMA_10477	IKI1
KLMA_10478	GPI16
KLMA_10479	HSH155
KLMA_10480	APL6
KLMA_10481	ABZ2
KLMA_10482	BUD32
KLMA_10483	MES1
KLMA_10484	HAS1
KLMA_10487	TDA1
KLMA_10488	FOL2
KLMA_10491	YTA7
KLMA_10493	HER2
KLMA_10495	SLH1
KLMA_10496	EFG1
KLMA_10498	LCB1
KLMA_10499	PRC1
KLMA_10500	LIP1
KLMA_10501	TAF1
KLMA_10503	RNH70
KLMA_10504	DYN3
KLMA_10505	ADE4
KLMA_10506	ATM1
KLMA_10507	PRE5
KLMA_10508	TGL3
KLMA_10509	ELP6
KLMA_10510	SKN7
KLMA_10511	SET5
KLMA_10512	FMP10
KLMA_10513	FAU1
KLMA_10514	BAT1
KLMA_10516	PGU1
KLMA_10518	INU1
KLMA_10519	ARN1
KLMA_10521	FMP23
KLMA_10522	ZTA1
KLMA_10524	SES1
KLMA_10525	ATG31
KLMA_10526	FAL1
KLMA_10527	TLG2
KLMA_10531	UBP6
KLMA_10532	TAT2
KLMA_10533	DIS3
KLMA_10534	GCN20
KLMA_10535	TSR4
KLMA_10536	IFM1
KLMA_10540	PGK
KLMA_10541	POL4
KLMA_10545	HGT1
KLMA_10546	HGT1
KLMA_10547	HGT1
KLMA_10548	CWH43
KLMA_10549	GLC3
KLMA_10550	UBC8
KLMA_10552	MAK32
KLMA_10553	VAC8
KLMA_10554 KLMA_40195	TY1B-DR6
KLMA_10556	EDC3
KLMA_10557	rhb1
KLMA_10558	ARDH
KLMA_10559	NPP1
KLMA_10562	EAF5
KLMA_10563	MMS21
KLMA_10564	SLM5
KLMA_10566	RPC31
KLMA_10568	INN1
KLMA_10569	THO2
KLMA_10572	SRV2
KLMA_10574	EAF7
KLMA_10575	FCP1
KLMA_10576	TAF8
KLMA_10577	SCS7
KLMA_10579	ZDS2
KLMA_10580	RCE1
KLMA_10581	COQ5
KLMA_10582	BUL1
KLMA_10583	CTK3
KLMA_10585	DSK2
KLMA_10587	URA5
KLMA_10588	SEC65
KLMA_10589	RRN9
KLMA_10590	MDM1
KLMA_10591	TMA23
KLMA_10592	KYE1
KLMA_10594	SEC9
KLMA_10595	TIF6
KLMA_10597	RLF2
KLMA_10598	RRT8
KLMA_10599	LCB2
KLMA_10603	IRS4
KLMA_10604	IML2
KLMA_10606	ARP4
KLMA_10607	FCJ1
KLMA_10609	YPT52
KLMA_10610	SCP160
KLMA_10611	PRY3
KLMA_10612	PRY2
KLMA_10614	MPD1
KLMA_10615	rplM
KLMA_10616	CRN1
KLMA_10617	MAG2
KLMA_10618	SPC2
KLMA_10619	TDA5
KLMA_10620	TUS1
KLMA_10621	CYB2
KLMA_10622	YKT6
KLMA_10623	MIA40
KLMA_10624	SPP382
KLMA_10625	ATG17
KLMA_10626	MST1
KLMA_10628	SDS22
KLMA_10629	ACP1
KLMA_10631	RPN13
KLMA_10633	URA4
KLMA_10634	DPH2
KLMA_10635	DAL5
KLMA_10636	CNB1
KLMA_10638	CDC73
KLMA_10640	NPY1
KLMA_10641	HRR25
KLMA_10642	TPK2
KLMA_10643	MNP1
KLMA_10645	RPB9
KLMA_10646	AFT1
KLMA_10648	HSF
KLMA_10649	DLD1
KLMA_10650	MPS2
KLMA_10653	SNQ2
KLMA_10654	FUR4
KLMA_10655	CDR4
KLMA_10656	CHS3
KLMA_10658	CHS2
KLMA_10659	OLA1
KLMA_10660	SCO1
KLMA_10661	SIT4
KLMA_10662	THP1
KLMA_10663	NDK1
KLMA_10664	UPF3
KLMA_10667	SMD1
KLMA_10668	PRP38
KLMA_10669	MRPL25
KLMA_10670	DPS1
KLMA_10671	OCA5
KLMA_10672	PRP19
KLMA_10673	GPX2
KLMA_10674	ENT4
KLMA_10675	COX19
KLMA_10677	MET17
KLMA_10678	BPT1
KLMA_10679	RAN1
KLMA_10680	CDC3
KLMA_10681	CDC12
KLMA_10682	TRR1
KLMA_10683	XYL1
KLMA_10685	SBE2
KLMA_10686	KIC1
KLMA_10687	ATP22
KLMA_10688	BIG1
KLMA_10689	PEP12
