reaction	linear_coefficient
r_0085	[0.2733151394454241, 0.18471255176577533, 0.18582497511735163]
r_0086	[0.26794474099762944, 0.2744602464587189, 0.2437915607973]
r_0087	[0.010007662607983445, 0.006563142489075833, 0.007674519940607839]
r_0088	[0.008304027806267206, 0.005988983141800588, 0.006962990035083211]
r_0089	[0.010763361594948924, 0.008586818877013196, 0.008732412476893154]
r_0090	[0.02471984659101631, 0.02122773696538473, 0.022829182863470014]
r_0091	[0.0017264179426873033, 0.0011980469489628264, 0.0012707507908861887]
r_0092	[0.0017038532433268307, 0.0008780237062192448, 0.0010212532915463927]
r_0093	[0.010763361594948924, 0.017114497051298094, 0.008732412476893154]
r_0094	[0.004061864326496979, 0.0028546378525766644, 0.0028324203237908956]
r_0095	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0096	[0.0027418294139089036, 0.0019604552625578356, 0.0019730400482871266]
r_0097	[0.0028884999597520223, 0.0018569183310819667, 0.001991521344534516]
r_0098	[0.0027418294139089036, 0.0019604552625578356, 0.0019730400482871266]
r_0099	[0.0889051339219015, 0.10122413520296471, 0.06553945849119504]
r_0100	[0.0889051339219015, 0.10122413520296471, 0.06553945849119504]
r_0101	[0.20544052376910057, 0.11405330225765616, 0.14659842383226032]
r_0102	[0.005765499128213218, 0.003654695959435625, 0.003885854209892293]
r_0103	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0104	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0105	[0.0027418294139089036, 0.0019604552625578356, 0.0019730400482871266]
r_0106	[0.0028884999597520223, 0.0018098560895020326, 0.001991521344534516]
r_0107	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0108	[0.0023469471751005016, 0.0015745448816023352, 0.0017327831970710115]
r_0109	[0.0028884999597520223, 0.0018098560895020326, 0.001991521344534516]
r_0110	[0.001715135593007067, 0.0009439108444311624, 0.0012707507908861887]
r_0111	[0.002978758757193949, 0.0020639921940336964, 0.002065446529524091]
r_0112	[0.0025613118190250628, 0.0019039805726619094, 0.0019268368076686398]
r_0113	[0.0023469471751005016, 0.0015745448816023352, 0.00157569217896818]
r_0114	[1.0, 1.0, 1.0]
r_0115	[0.0017038532433268307, 0.0008780237062192448, 0.0010212532915463927]
r_0116	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0117	[0.0023469471751005016, 0.0015745448816023352, 0.0017327831970710115]
r_0118	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0119	[0.1365730613209152, 0.08283221119352445, 0.10087569691621018]
r_0120	[0.1365730613209152, 0.10122413520296471, 0.08333694677743436]
r_0121	[0.02471984659101631, 0.020935951067589095, 0.021507770181781447]
r_0122	[0.0037798055844909754, 0.0022616536086694427, 0.0027584951388013204]
r_0123	[0.004659828859549704, 0.0034852718897478456, 0.0034607843962022487]
r_0124	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0125	[0.004659828859549704, 0.0034005598549039606, 0.0033036933780994176]
r_0126	[0.004659828859549704, 0.0034005598549039606, 0.0033036933780994176]
r_0127	[0.004659828859549704, 0.0034005598549039606, 0.0033036933780994176]
r_0128	[0.004106993725217935, 0.0028828751975246317, 0.003118880415625489]
r_0129	[0.00445674656530538, 0.0035982212695396987, 0.0038581322655212046]
r_0130	[0.023456223426829518, 0.017114497051298094, 0.01758049472921048]
r_0131	[0.00713066343952225, 0.005518360726001192, 0.0056323367052709215]
r_0132	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0133	[0.5609812092425023, 0.4269042593844559, 0.47784793712240753]
r_0134	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0135	[0.00362185268896762, 0.003654695959435625, 0.0034607843962022487]
r_0136	[0.00362185268896762, 0.003654695959435625, 0.0034607843962022487]
r_0137	[0.004355205418183217, 0.0035135092346958133, 0.0034515437480785592]
r_0138	[0.0018505237891699503, 0.0011980469489628264, 0.001289232087133587]
r_0139	[0.004355205418183217, 0.0035135092346958133, 0.0034515437480785592]
r_0140	[0.09434322646777717, 0.06239778589951501, 0.06553945849119504]
r_0141	[0.0011735828083555488, 0.0007838992230593679, 0.0009196061621857272]
r_0142	[0.001918217887251392, 0.0013392336737026464, 0.00157569217896818]
r_0143	[0.001918217887251392, 0.0013392336737026464, 0.00157569217896818]
r_0144	[0.02657015193857573, 0.019655858096614732, 0.021507770181781447]
r_0145	[0.02657015193857573, 0.019655858096614732, 0.021507770181781447]
r_0146	[0.03759300757617014, 0.02907771886091849, 0.03265199181895937]
r_0147	[0.010763361594948924, 0.006563142489075833, 0.007406541145020637]
r_0148	[0.03759300757617014, 0.02907771886091849, 0.03150615145162102]
r_0149	[0.09137596850187404, 0.10122413520296471, 0.07638797938841473]
r_0150	[0.010763361594948924, 0.006563142489075833, 0.007406541145020637]
r_0151	[0.03759300757617014, 0.02299727724879044, 0.028465978218924878]
r_0152	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0153	[0.05715660192170626, 0.04501299385988573, 0.03705054032583889]
r_0154	[1.0, 1.0, 1.0]
r_0155	[0.3694746057701093, 0.18471255176577533, 0.18582497511735163]
r_0156	[0.12325988869823258, 0.10396315766291726, 0.14068440903309448]
r_0157	[0.12325988869823258, 0.10396315766291726, 0.14068440903309448]
r_0158	[0.025780387460958953, 0.020935951067589095, 0.021507770181781447]
r_0159	[0.008225051358505528, 0.0059230960035886685, 0.006223738185187496]
r_0160	[0.0005192065269016305, 0.00033210170389195656, 0.00042061116350611884]
r_0161	[0.0029336293584729797, 0.0023275407468813522, 0.002296462732616498]
r_0162	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0163	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0164	[0.0029336293584729797, 0.0023275407468813522, 0.002296462732616498]
r_0165	[0.0005192065269016305, 0.00033210170389195656, 0.00042061116350611884]
r_0166	[0.008225051358505528, 0.005518360726001192, 0.0066303267026301405]
r_0167	[0.0038813467316131376, 0.00346644699311587, 0.0030819178231307016]
r_0168	[0.0038813467316131376, 0.00346644699311587, 0.0030819178231307016]
r_0169	[0.001884370838210671, 0.0012921714321227034, 0.001381638568370552]
r_0170	[0.001884370838210671, 0.0012921714321227034, 0.001381638568370552]
