reaction	linear_coefficient
r_0001	[0.0003192819018706754, 0.0005925657953098789, 0.0002987289640865539]
r_0002	[0.0063827644221500415, 0.007621651418026487, 0.006477844691625602]
r_0003	[0.0007829719974809176, 0.0010465858466870747, 0.0006816557438870826]
r_0004	[0.003825060048984459, 0.00680591427619413, 0.0035961540123688905]
r_0005	[0.000515998912129565, 0.0003571479908920724, 0.0004972835906497914]
r_0006	[0.0003192819018706754, 0.0004244102207257314, 0.0002632727807716904]
r_0007	[0.000515998912129565, 0.0006093813527682932, 0.00059656090393141]
r_0008	[0.000515998912129565, 0.0006093813527682932, 0.00059656090393141]
r_0009	[0.000515998912129565, 0.0006093813527682932, 0.00059656090393141]
r_0010	[0.000515998912129565, 0.0006093813527682932, 0.00059656090393141]
r_0011	[0.00024200021926896843, 0.0003319246547044504, 0.0002278165974568265]
r_0012	[0.00024200021926896843, 0.0003319246547044504, 0.0002278165974568265]
r_0013	[0.00024200021926896843, 5.446795664060718e-05, 0.0002278165974568265]
r_0014	[0.00024200021926896843, 5.446795664060718e-05, 0.0002278165974568265]
r_0015	[0.0011623548029801995, 0.002232082647505316, 0.0011780423102951778]
r_0016	[0.12120188470595804, 0.19628361571761116, 0.1389536794351932]
r_0017	[0.35097437829585076, 0.9245822247990144, 1.0]
r_0018	[0.0003192819018706754, 0.0005925657953098789, 0.0002987289640865539]
r_0019	[0.04359702415882634, 0.06161622381189696, 0.038272301294305706]
r_0020	[0.0012536877006003987, 0.0019462181707122661, 0.0011567686003062581]
r_0021	[3.825760150083302e-05, 0.00014695352266188853, 4.344444421953448e-05]
r_0022	[0.000515998912129565, 0.0007523135911648188, 0.0004689186439979003]
r_0023	[0.000515998912129565, 0.0007439058124356129, 0.0004689186439979003]
r_0024	[0.0008462024650641269, 0.0018789559408786067, 0.0006816557438870826]
r_0025	[0.0008883561101196066, 0.0011811103063543939, 0.0006887469805500571]
r_0026	[0.0008883561101196066, 0.0018789559408786067, 0.0011213124169913943]
r_0027	[0.0007970232124994072, 0.0010802169616039045, 0.0004972835906497914]
r_0028	[0.015958284217452403, 0.02489945410144841, 0.013956450776972105]
r_0029	[0.0014855327484055221, 0.0022404904262345224, 0.0013695057001954422]
r_0030	[0.0014855327484055221, 0.0022404904262345224, 0.0013695057001954422]
r_0031	[0.0063827644221500415, 0.007621651418026487, 0.006477844691625602]
r_0032	[0.001471481533387027, 0.002299344877338976, 0.001376596936858417]
r_0033	[0.0012536877006003987, 0.0010381780679578688, 0.0011851335469581473]
r_0034	[0.001366097420748338, 0.002148004860213239, 0.0013127758068916585]
r_0035	[0.0015206607859517517, 0.0022404904262345224, 0.0014475093034881396]
r_0036	[0.0015206607859517517, 0.0022404904262345224, 0.0014475093034881396]
r_0037	[0.0008391768575548818, 0.001012954731770245, 0.0006816557438870826]
r_0038	[0.0008391768575548818, 0.001012954731770245, 0.0006816557438870826]
r_0039	[0.0013098925606743683, 0.000996139174311833, 0.0013127758068916585]
r_0040	[0.0014363534958407975, 0.0022068593113176924, 0.0015113304334548978]
r_0041	[0.0014363534958407975, 0.0022068593113176924, 0.0015113304334548978]
r_0042	[0.003825060048984459, 0.004973018513226915, 0.004120905525428874]
r_0043	[0.003825060048984459, 0.004973018513226915, 0.004120905525428874]
r_0044	[0.0013520462057298429, 0.002131189302754827, 0.0013340495168805777]
r_0045	[0.004618953697529263, 0.007621651418026487, 0.006269550234309606]
r_0046	[0.003825060048984459, 0.004973018513226915, 0.004120905525428874]
r_0047	[0.0032278834106985433, 0.004325619551077949, 0.0031919535225794424]
r_0048	[0.0008321512500456369, 0.00112225585524994, 0.0006816557438870826]
r_0049	[0.0015206607859517517, 0.0022404904262345224, 0.0014475093034881396]
r_0050	[0.0015206607859517517, 0.0022404904262345224, 0.0014475093034881396]
r_0051	[0.0008321512500456369, 0.00112225585524994, 0.0006816557438870826]
r_0052	[0.0019351716289972686, 0.0031064916353428845, 0.0020573556565038017]
r_0053	[0.0019351716289972686, 0.0031064916353428845, 0.0020573556565038017]
r_0054	[0.0063827644221500415, 0.007621651418026487, 0.006477844691625602]
r_0055	[0.0013520462057298429, 0.002131189302754827, 0.0013340495168805777]
