reaction	linear_coefficient
r_0001	[0.0003188319292931911, 0.0003333174272837597, 0.0011727044429156199, 0.0011692293467878124, 0.0004670089830286529, 0.0005460547125918345]
r_0002	[0.005937664558123571, 0.006014149563514157, 0.010062481318211325, 0.010571748319024509, 0.005266348298743535, 0.005041970654695585]
r_0003	[0.0015637229907705813, 0.001575999457084156, 0.0025375249590398608, 0.0024478145626777395, 0.0019068107777431144, 0.0019066608529653374]
r_0004	[0.006425527271405236, 0.0062981911703256675, 0.009158748814291226, 0.010079984774451458, 0.005633356599357012, 0.005515224964390731]
r_0005	[0.03490661601574604, 0.03690367430426688, 0.03167828733034122, 0.03171758073566578, 0.029884135847586982, 0.02994697870240184]
r_0006	[0.0007730489382106182, 0.0009014006409067981, 0.0008960516355931399, 0.000913512303609825, 0.0004670089830286529, 0.0005756331069477798]
r_0007	[0.0035656424004436907, 0.004025858315833518, 0.004898295581525017, 0.0040214579053114916, 0.006056827715449493, 0.0055448033587466574]
r_0008	[0.0035656424004436907, 0.004025858315833518, 0.004898295581525017, 0.0040214579053114916, 0.006056827715449493, 0.0055448033587466574]
r_0009	[0.0035656424004436907, 0.004025858315833518, 0.004898295581525017, 0.0040214579053114916, 0.006056827715449493, 0.0055448033587466574]
r_0010	[0.0035656424004436907, 0.004025858315833518, 0.004898295581525017, 0.0040214579053114916, 0.006056827715449493, 0.0055448033587466574]
r_0011	[0.0011263288340352823, 0.001149937046866877, 0.0011727044429156199, 0.0011692293467878124, 0.0010034057300791386, 0.0010488874166429127]
r_0012	[0.0011263288340352823, 0.001149937046866877, 0.0011727044429156199, 0.0011692293467878124, 0.0010034057300791386, 0.0010488874166429127]
r_0013	[0.0011263288340352823, 0.001149937046866877, 0.0011727044429156199, 0.0011692293467878124, 0.0010034057300791386, 0.0010488874166429127]
r_0014	[0.0011263288340352823, 0.001149937046866877, 0.0011727044429156199, 0.0011692293467878124, 0.0010034057300791386, 0.0010488874166429127]
r_0015	[0.001479608729859946, 0.0014339786536783975, 0.0017260100575605824, 0.0016019812660120936, 0.0019068107777431144, 0.0023503367683045248]
r_0016	[0.08746120623271052, 0.06440245236370697, 0.07046501091695297, 0.07247494330987991, 0.1389985267607515, 0.2640599700297124]
r_0017	[0.42280794163122654, 0.4174484170299994, 0.6883045037500065, 0.7058663887199677, 0.1667500005686793, 0.2640599700297124]
r_0018	[0.0003188319292931911, 0.0003333174272837597, 0.0011727044429156199, 0.0011692293467878124, 0.0004670089830286529, 0.0005460547125918345]
r_0019	[0.018941729294907655, 0.0186895062674782, 0.048185238167249275, 0.04102174699898778, 0.037252533267596186, 0.035448560052607714]
r_0020	[0.003044133982797747, 0.0029251970894388717, 0.002685073122945183, 0.002526496729809427, 0.005492199560659526, 0.005515224964390731]
r_0021	[0.0007730489382106182, 0.0009014006409067981, 0.0015784618936552607, 0.0014839580153145633, 0.0009469429146001391, 0.0009305738392191288]
r_0022	[0.0013954944689493108, 0.0013984734528269562, 0.0016337924551197572, 0.0015823107242291738, 0.0013421826229531291, 0.0012263577827785871]
r_0023	[0.0013113802080386785, 0.0013984734528269562, 0.0014309137297499352, 0.001385605306399953, 0.0009469429146001391, 0.0010193090222869673]
r_0024	[0.0022366370780556545, 0.002321608674964396, 0.0018182276600014085, 0.001680663433143784, 0.0023020504860961043, 0.002439071951372361]
r_0025	[0.03253459385806622, 0.03690367430426688, 0.02531527276192411, 0.02030866650157089, 0.029291276285057267, 0.028852578111231913]
r_0026	[0.001479608729859946, 0.0014339786536783975, 0.0019104452624422372, 0.001680663433143784, 0.002132662039659109, 0.0023503367683045248]
r_0027	[0.0013450259124029302, 0.0013984734528269562, 0.0017260100575605824, 0.0016019812660120936, 0.0014268768461716279, 0.001285514571490478]
r_0028	[0.045017150177204354, 0.04082699899835104, 0.053626076711258, 0.052666707734477666, 0.029291276285057267, 0.027935647886197602]
r_0029	[0.001479608729859946, 0.001575999457084156, 0.0017260100575605824, 0.001680663433143784, 0.0021891248551381055, 0.0024094935570164156]
r_0030	[0.001479608729859946, 0.001575999457084156, 0.0017260100575605824, 0.001680663433143784, 0.0021891248551381055, 0.0024094935570164156]
r_0031	[0.005937664558123571, 0.006014149563514157, 0.010062481318211325, 0.010571748319024509, 0.005266348298743535, 0.005041970654695585]
r_0032	[0.001479608729859946, 0.001575999457084156, 0.0017260100575605824, 0.0016019812660120936, 0.0019068107777431144, 0.001877082458609392]
r_0033	[0.038288009304353395, 0.03864342914598743, 0.019265798041805855, 0.020977464922190235, 0.03490932642521781, 0.0314850552089112]
r_0034	[0.008023698228707295, 0.008055698612471957, 0.00888209600696874, 0.007621167051586233, 0.007411935286945472, 0.00702372307654395]
r_0035	[0.008242395307074948, 0.008410750620986337, 0.011685511121169882, 0.011712639742433991, 0.014228629500707626, 0.014389888854167603]
r_0036	[0.008242395307074948, 0.008410750620986337, 0.011685511121169882, 0.011712639742433991, 0.014228629500707626, 0.014389888854167603]
r_0037	[0.006475995827951627, 0.0062981911703256675, 0.010099368359187667, 0.010512736693675747, 0.009162282566794428, 0.008295594033849623]
r_0038	[0.006475995827951627, 0.0062981911703256675, 0.010099368359187667, 0.010512736693675747, 0.009162282566794428, 0.008295594033849623]
r_0039	[0.001479608729859946, 0.0014339786536783975, 0.0017260100575605824, 0.0016019812660120936, 0.0019068107777431144, 0.0019066608529653374]
r_0040	[0.007014327097779686, 0.006351448971602828, 0.007259066204010185, 0.007503143800888674, 0.005322811114222512, 0.004302510795796939]
r_0041	[0.007014327097779686, 0.006351448971602828, 0.007259066204010185, 0.007503143800888674, 0.005322811114222512, 0.004302510795796939]
r_0042	[0.0175454325637911, 0.016275152609580283, 0.028911759257116365, 0.022275720679863095, 0.014228629500707626, 0.014625370426022003]
r_0043	[0.0175454325637911, 0.016275152609580283, 0.028911759257116365, 0.022275720679863095, 0.014228629500707626, 0.014625370426022003]
r_0044	[0.005416156140477624, 0.005126519542228142, 0.003146161135149312, 0.0036477176114359674, 0.003939472134987058, 0.0038884132748136994]
r_0045	[0.01535846178011462, 0.013931809353385229, 0.03232381054742712, 0.032288026447370444, 0.020483077070333637, 0.020984725212550334]
r_0046	[0.0175454325637911, 0.016275152609580283, 0.028911759257116365, 0.022275720679863095, 0.014228629500707626, 0.014625370426022003]
r_0047	[0.008578852350717496, 0.008872318232055068, 0.011630180559705387, 0.012106050578092428, 0.009416365236449923, 0.014389888854167603]
r_0048	[0.006475995827951627, 0.0062981911703256675, 0.006576655945948071, 0.005772136123991553, 0.007778943587558948, 0.007171615048323691]
r_0049	[0.008242395307074948, 0.008410750620986337, 0.011685511121169882, 0.011712639742433991, 0.014228629500707626, 0.014389888854167603]
r_0050	[0.008242395307074948, 0.008410750620986337, 0.011685511121169882, 0.011712639742433991, 0.014228629500707626, 0.014389888854167603]
r_0051	[0.006475995827951627, 0.0062981911703256675, 0.006576655945948071, 0.005772136123991553, 0.007778943587558948, 0.007171615048323691]
r_0052	[0.005432978992659766, 0.005712355356276906, 0.007517275490844514, 0.0076998492187179066, 0.004165323396903051, 0.004302510795796939]
r_0053	[0.005432978992659766, 0.005712355356276906, 0.007517275490844514, 0.0076998492187179066, 0.004165323396903051, 0.004302510795796939]
r_0054	[0.05645668966105054, 0.0649527829769044, 0.06526393813929023, 0.05697455638493757, 0.017518779257686214, 0.014861997580869576]
r_0055	[0.005416156140477624, 0.005126519542228142, 0.003146161135149312, 0.0036477176114359674, 0.003939472134987058, 0.0038884132748136994]
r_0056	[0.01700710129396305, 0.015795832398085838, 0.03232381054742712, 0.032288026447370444, 0.020483077070333637, 0.023558045521517634]
r_0057	[0.020035214686745878, 0.019843425295149986, 0.04202510232420196, 0.04493618481378916, 0.03273550802927635, 0.028852578111231913]
r_0058	[0.04772562937852669, 0.0451763861026524, 0.048185238167249275, 0.04597872352828393, 0.03843825239265507, 0.04097971979716957]
r_0059	[0.019126780668911054, 0.019949940897704306, 0.03232381054742712, 0.032288026447370444, 0.026693986773023457, 0.02249322332470358]
