reaction	linear_coefficient
r_0001	[0.0006203243916638012, 0.0006982447822305338, 0.00100509014416374]
r_0002	[0.005311081005286602, 0.005725947707032971, 0.005230866428090229]
r_0003	[0.0006306792627755516, 0.0006982447822305338, 0.0010585809832007844]
r_0004	[0.006543310667584872, 0.006448552783269759, 0.00916779218121668]
r_0005	[0.00764092700543041, 0.007466306411772272, 0.003786613774090033]
r_0006	[0.0005789049072168008, 0.0006982447822305338, 0.0008874102982822436]
r_0007	[0.0012830361428158071, 0.001074813624776462, 0.0015186021989193688]
r_0008	[0.0012830361428158071, 0.001074813624776462, 0.0015186021989193688]
r_0009	[0.0012830361428158071, 0.001074813624776462, 0.0015186021989193688]
r_0010	[0.0012830361428158071, 0.001074813624776462, 0.0015186021989193688]
r_0011	[0.0005167756805463007, 0.0006473571008054078, 0.0008446176270526076]
r_0012	[0.0005167756805463007, 0.0006473571008054078, 0.0008446176270526076]
r_0013	[0.0005167756805463007, 0.0006473571008054078, 0.0008446176270526076]
r_0014	[0.0005167756805463007, 0.0006473571008054078, 0.0008446176270526076]
r_0015	[0.0023392329962143217, 0.002357183196689633, 0.0026526079865047004]
r_0016	[0.0016454566317270598, 0.0019399042090036019, 0.0024814373015861636]
r_0017	[0.11455497123425047, 0.1329451512698473, 0.17830582521634997]
r_0018	[0.0006203243916638012, 0.0006982447822305338, 0.00100509014416374]
r_0019	[0.6977827317324636, 0.6675100671045099, 0.7188093573500669]
r_0020	[0.0013141007561510581, 0.0015328027576026009, 0.0019572270790231294]
r_0021	[0.0003407428716465486, 0.00034203101225465277, 0.00044878541817848137]
r_0022	[0.00011293570718804569, 0.0003216759396846023, 0.00041669091475625495]
r_0023	[0.0003200331294230481, 0.00033185347596962754, 0.00042738908256366345]
r_0024	[0.0006203243916638012, 0.0006982447822305338, 0.0010585809832007844]
r_0025	[0.001531553049497814, 0.0016752882655929526, 0.0020856050927120346]
r_0026	[0.0008481315561223024, 0.0009017955079310342, 0.001176260829082283]
r_0027	[0.0012312617872570558, 0.001074813624776462, 0.0013902241852304627]
r_0028	[0.032834328420318394, 0.03331724857573618, 0.03927243639126511]
r_0029	[0.0015108433072743134, 0.0016956433381629982, 0.0021176995961342563]
r_0030	[0.0015108433072743134, 0.0016956433381629982, 0.0021176995961342563]
r_0031	[0.005311081005286602, 0.005725947707032971, 0.005230866428090229]
r_0032	[0.0012312617872570558, 0.001074813624776462, 0.0013902241852304627]
r_0033	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0034	[0.0012830361428158071, 0.00152262522131757, 0.001721867387260128]
r_0035	[0.0008895510405693036, 0.0009119730442160651, 0.00132603517838601]
r_0036	[0.0008895510405693036, 0.0009119730442160651, 0.00132603517838601]
r_0037	[0.000651389004999052, 0.000708422318515559, 0.001090675486623011]
r_0038	[0.000651389004999052, 0.000708422318515559, 0.001090675486623011]
r_0039	[0.005311081005286602, 0.0056750600256078405, 0.004877826890445733]
r_0040	[0.0012312617872570558, 0.0009832157982112408, 0.0013902241852304627]
r_0041	[0.0012312617872570558, 0.0009832157982112408, 0.0013902241852304627]
r_0042	[0.005932373271991614, 0.005217070892781709, 0.004942015897290187]
r_0043	[0.005932373271991614, 0.005217070892781709, 0.004942015897290187]
r_0044	[0.0006410341338873017, 0.000708422318515559, 0.0010585809832007844]
r_0045	[0.0012830361428158071, 0.0014920926124624935, 0.0018395472331416336]
r_0046	[0.005932373271991614, 0.005217070892781709, 0.004942015897290187]
r_0047	[0.0014072945961568107, 0.0015531578301726467, 0.0020856050927120346]
r_0048	[0.0005996146494403015, 0.0006982447822305338, 0.000983693808548923]
r_0049	[0.0008895510405693036, 0.0009119730442160651, 0.00132603517838601]
r_0050	[0.0008895510405693036, 0.0009119730442160651, 0.00132603517838601]
r_0051	[0.0005996146494403015, 0.0006982447822305338, 0.000983693808548923]
r_0052	[0.000651389004999052, 0.0006982447822305338, 0.0010799773188156026]
r_0053	[0.000651389004999052, 0.0006982447822305338, 0.0010799773188156026]
r_0054	[0.0016143920183918164, 0.001807596237298281, 0.0022781721132453937]
r_0055	[0.0006410341338873017, 0.000708422318515559, 0.0010585809832007844]
r_0056	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0057	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0058	[0.6977827317324636, 0.6675100671045099, 0.19679225918755291]
r_0059	[0.029199768660094126, 0.030050259428243124, 0.025846235792967052]
r_0060	[0.0012933910139275575, 0.0015022701487475245, 0.0017646600584897698]
r_0061	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0062	[0.03272042483808915, 0.030050259428243124, 0.024990382368374305]
r_0063	[0.0037060759829653377, 0.003609020159747736, 0.003786613774090033]
r_0064	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0065	[0.0014072945961568107, 0.0015328027576026009, 0.0019679252468305392]
r_0066	[0.0037060759829653377, 0.003609020159747736, 0.003786613774090033]
r_0067	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0068	[0.00671934347648462, 0.006173759303574078, 0.007926804715557255]
r_0069	[0.6977827317324636, 0.6675100671045099, 0.19679225918755291]
r_0070	[0.0012830361428158071, 0.001074813624776462, 0.0015186021989193688]
r_0071	[0.0015833274050565654, 0.0017668860921581737, 0.0022781721132453937]
r_0072	[0.0015833274050565654, 0.001868661455008426, 0.0021711904351712987]
r_0073	[0.007009279867613627, 0.0075782593109075475, 0.009729983620838331]
r_0074	[0.001158777689474811, 0.0009832157982112408, 0.0013581296818082312]
r_0075	[0.029199768660094126, 0.02841167608635405, 0.02797517118664144]
r_0076	[0.0021217807028675656, 0.003619197696032759, 0.0023744556235120676]
r_0077	[0.001158777689474811, 0.0009832157982112408, 0.0013581296818082312]
r_0078	[0.001158777689474811, 0.0009832157982112408, 0.0013581296818082312]
r_0079	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0080	[0.00011293570718804569, 0.0003216759396846023, 0.00041669091475625495]
r_0081	[0.0012312617872570558, 0.001074813624776462, 0.0013902241852304627]
r_0082	[0.001158777689474811, 0.0009832157982112408, 0.0013581296818082312]
r_0083	[0.029199768660094126, 0.029052860872310675, 0.024990382368374305]
r_0084	[0.0012312617872570558, 0.001074813624776462, 0.0013902241852304627]
r_0085	[0.17077156649994155, 0.13437000634975077, 0.13484986758265513]
r_0086	[0.20641303286658558, 0.13437000634975077, 0.19679225918755291]
r_0087	[0.004751917965252102, 0.00517636074764161, 0.004877826890445733]
r_0088	[0.006419052214243869, 0.007445951339202218, 0.007199329304653449]
r_0089	[0.007009279867613627, 0.007649502064902723, 0.009729983620838331]
r_0090	[0.025223498153182044, 0.026437234047059187, 0.024990382368374305]
