reaction	linear_coefficient
r_0001	[0.0013733753090045188, 0.0013436073148197685, 0.0014130233601842284]
r_0002	[0.005527925563519, 0.005568324153233401, 0.005705139674769086]
r_0003	[0.0014332607180786011, 0.0013725933651690856, 0.0014281631002709522]
r_0004	[0.00331216542777794, 0.0031334959238903796, 0.0034038991815877858]
r_0005	[0.0012910328715276557, 0.0013436073148197685, 0.0013524643998373534]
r_0006	[0.0006697217523840474, 0.0005972165183247342, 0.0007014555761084372]
r_0007	[0.002136914274699067, 0.002097244623902135, 0.002260848805040502]
r_0008	[0.002136914274699067, 0.002097244623902135, 0.002260848805040502]
r_0009	[0.002136914274699067, 0.002097244623902135, 0.002260848805040502]
r_0010	[0.002136914274699067, 0.002097244623902135, 0.002260848805040502]
r_0011	[0.0006921787807868282, 0.000647942106436047, 0.0007014555761084372]
r_0012	[0.0006921787807868282, 0.000647942106436047, 0.0007014555761084372]
r_0013	[0.0006921787807868282, 0.000647942106436047, 0.0007014555761084372]
r_0014	[0.0006921787807868282, 0.000647942106436047, 0.0007014555761084372]
r_0015	[0.00168028803050919, 0.0017928910952342543, 0.001700678421831891]
r_0016	[0.014817649646136041, 0.01406848341817195, 0.01568222839191697]
r_0017	[1.0, 1.0, 1.0]
r_0018	[0.0013733753090045188, 0.0013436073148197685, 0.0014130233601842284]
r_0019	[0.09192759950515168, 0.09191052163127536, 0.08726291952192462]
r_0020	[0.001979715075879601, 0.0017928910952342543, 0.002132161014303385]
r_0021	[0.00010829604231452327, 3.923504910029204e-05, 4.28768823361583e-05]
r_0022	[0.0005948649910414445, 0.0006334490812613866, 0.0007014555761084372]
r_0023	[0.0005499509342358819, 0.0005899700057374045, 0.0007014555761084372]
r_0024	[0.001268575843124875, 0.0012711421889464616, 0.0013297547897072827]
r_0025	[0.0033570794845835016, 0.0033363982763356366, 0.0034720280119780273]
r_0026	[0.002863024859722323, 0.0028074028574605124, 0.003017835809376453]
r_0027	[0.0008194352750692537, 0.0007856258455953255, 0.0009436914174959422]
r_0028	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0029	[0.002668397280231556, 0.002097244623902135, 0.002669621787381916]
r_0030	[0.002668397280231556, 0.002097244623902135, 0.002669621787381916]
r_0031	[0.005527925563519, 0.005568324153233401, 0.005705139674769086]
r_0032	[0.0029603386494677065, 0.002937840084032463, 0.0033206306111108297]
r_0033	[0.0033570794845835016, 0.003387123864446949, 0.0036234254128452155]
r_0034	[0.002690854308634337, 0.002618993530189918, 0.002775599967988952]
r_0035	[0.001762630467986053, 0.0020392725232034918, 0.002260848805040502]
r_0036	[0.001762630467986053, 0.0020392725232034918, 0.002260848805040502]
r_0037	[0.0016653166782406696, 0.0017349189945356103, 0.002011043093609634]
r_0038	[0.0016653166782406696, 0.0017349189945356103, 0.002011043093609634]
r_0039	[0.002982795677870487, 0.003119002898715725, 0.0033282004811541967]
r_0040	[0.001979715075879601, 0.0017928910952342543, 0.002011043093609634]
r_0041	[0.001979715075879601, 0.0017928910952342543, 0.002011043093609634]
r_0042	[0.004083190069606758, 0.0035320541161935537, 0.0036234254128452155]
r_0043	[0.004083190069606758, 0.0035320541161935537, 0.0036234254128452155]
r_0044	[0.0018225158770601353, 0.0017928910952342543, 0.002260848805040502]
r_0045	[0.003446907598194625, 0.003517561091018899, 0.003850521514146003]
r_0046	[0.004083190069606758, 0.0035320541161935537, 0.0036234254128452155]
r_0047	[0.0033570794845835016, 0.003481328528082241, 0.003555296582454983]
r_0048	[0.001440746394212861, 0.0013870863903437491, 0.0014281631002709522]
r_0049	[0.001762630467986053, 0.0020392725232034918, 0.002260848805040502]
r_0050	[0.001762630467986053, 0.0020392725232034918, 0.002260848805040502]
r_0051	[0.001440746394212861, 0.0013870863903437491, 0.0014281631002709522]
r_0052	[0.002758225393842679, 0.002640733067951913, 0.0029194274988127832]
r_0053	[0.002758225393842679, 0.002640733067951913, 0.0029194274988127832]
r_0054	[0.005445583126042138, 0.005597310203582727, 0.005712709544812442]
r_0055	[0.0018225158770601353, 0.0017928910952342543, 0.002260848805040502]
r_0056	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0057	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0058	[0.10242251744538441, 0.1455999333908062, 0.2185093263336919]
r_0059	[0.006999107185533405, 0.007742277929432532, 0.0071535271909747575]
r_0060	[0.003027709734676049, 0.003119002898715725, 0.0034720280119780273]
r_0061	[0.0033570794845835016, 0.003285672688224324, 0.0034720280119780273]
r_0062	[0.006999107185533405, 0.01406848341817195, 0.0071535271909747575]
r_0063	[0.005033870938657813, 0.0049668636084849805, 0.00512982955147376]
r_0064	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0065	[0.0028106251267825014, 0.0027131981938252206, 0.002957276849029578]
r_0066	[0.005033870938657813, 0.0049668636084849805, 0.00512982955147376]
r_0067	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0068	[0.006999107185533405, 0.006133552135045173, 0.0071535271909747575]
r_0069	[0.10242251744538441, 0.1455999333908062, 0.2185093263336919]
r_0070	[0.002136914274699067, 0.002097244623902135, 0.002260848805040502]
r_0071	[0.003027709734676049, 0.003119002898715725, 0.0033282004811541967]
r_0072	[0.0012760615192591352, 0.0012928817267084565, 0.0013524643998373534]
r_0073	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0074	[0.00168028803050919, 0.0017928910952342543, 0.0021548706244334656]
r_0075	[0.006999107185533405, 0.007920438257952151, 0.0071535271909747575]
r_0076	[0.0028106251267825014, 0.0026842121434758935, 0.0033282004811541967]
