reaction	linear_coefficient
r_0001_EXP_1	[0.001973377755173232, 0.003434476672706554, 0.003456543210321673]
r_0001_EXP_2	[0.0019344932403500099, 0.0029031433158283417, 0.002777503930057048]
r_0001_EXP_3	[0.00041799716224443705, 0.0005232126548113507, 0.0005608054531601384]
r_0002	[0.001306786072489465, 0.001231657130648965, 0.0011781138897643383]
r_0003	[0.0004846563305128142, 0.0005398168222137951, 0.0006169244019423387]
r_0004_EXP_1	[0.015960693230154352, 0.01339697711417302, 0.013647744309169263]
r_0004_EXP_2	[0.0016567467058984395, 0.0016301571483076267, 0.0018908245392982859]
r_0005	[0.000617974667049567, 0.000667115438965866, 0.0007965050380453795]
r_0006	[0.0002513492415734947, 0.0003184279235145397, 0.0003812248170570968]
r_0006_REV	[0.0002513492415734947, 0.0003184279235145397, 0.0003812248170570968]
r_0007_EXP_1	[0.019710271445250546, 0.041756895037547585, 0.04066901814779873]
r_0007_EXP_2	[0.25116201353443335, 0.05599773594637717, 0.08734314784995448]
r_0007_EXP_3	[0.0012012423893978676, 0.0008165529455878608, 0.0009760856741484236]
r_0007_EXP_4	[0.0004902112612018456, 0.0005564209896162389, 0.0006449838763334384]
r_0007_EXP_5	[0.007772725394522042, 0.007391803236955735, 0.00646451886504761]
r_0008_EXP_1	[0.019710271445250546, 0.041756895037547585, 0.04066901814779873]
r_0008_EXP_2	[0.25116201353443335, 0.05599773594637717, 0.08734314784995448]
r_0008_EXP_3	[0.0012012423893978676, 0.0008165529455878608, 0.0009760856741484236]
r_0008_EXP_4	[0.0004902112612018456, 0.0005564209896162389, 0.0006449838763334384]
r_0008_EXP_5	[0.007772725394522042, 0.007391803236955735, 0.00646451886504761]
r_0009_EXP_1	[0.019710271445250546, 0.041756895037547585, 0.04066901814779873]
r_0009_EXP_2	[0.25116201353443335, 0.05599773594637717, 0.08734314784995448]
r_0009_EXP_3	[0.0012012423893978676, 0.0008165529455878608, 0.0009760856741484236]
r_0009_EXP_4	[0.0004902112612018456, 0.0005564209896162389, 0.0006449838763334384]
r_0009_EXP_5	[0.007772725394522042, 0.007391803236955735, 0.00646451886504761]
r_0010_EXP_1	[0.019710271445250546, 0.041756895037547585, 0.04066901814779873]
r_0010_EXP_2	[0.25116201353443335, 0.05599773594637717, 0.08734314784995448]
r_0010_EXP_3	[0.0012012423893978676, 0.0008165529455878608, 0.0009760856741484236]
r_0010_EXP_4	[0.0004902112612018456, 0.0005564209896162389, 0.0006449838763334384]
r_0010_EXP_5	[0.007772725394522042, 0.007391803236955735, 0.00646451886504761]
r_0011_EXP_1	[0.0002735689643296204, 0.00025754597637224475, 0.0002970463938837967]
r_0011_EXP_2	[0.00041799716224443705, 0.0003627057032543909, 0.0004317318709610771]
r_0011_EXP_3	[0.0049494432439269875, 0.0052720045319103685, 0.0051064403045183665]
r_0011_EXP_4	[0.0007679577956534149, 0.0009659904522098618, 0.0010322046229306232]
r_0011_EXP_5	[0.0020678115768867663, 0.002742636364271382, 0.0027382206659095094]
r_0011_EXP_6	[0.0007957324490985743, 0.000982594619612305, 0.0011332187307385839]
r_0012_EXP_1	[0.0002735689643296204, 0.00025754597637224475, 0.0002970463938837967]
r_0012_EXP_2	[0.00041799716224443705, 0.0003627057032543909, 0.0004317318709610771]
r_0012_EXP_3	[0.0049494432439269875, 0.0052720045319103685, 0.0051064403045183665]
r_0012_EXP_4	[0.0007679577956534149, 0.0009659904522098618, 0.0010322046229306232]
r_0012_EXP_5	[0.0020678115768867663, 0.002742636364271382, 0.0027382206659095094]
r_0012_EXP_6	[0.0007957324490985743, 0.000982594619612305, 0.0011332187307385839]
r_0013_EXP_1	[0.0002735689643296204, 0.00025754597637224475, 0.0002970463938837967]
r_0013_EXP_2	[0.00041799716224443705, 0.0003627057032543909, 0.0004317318709610771]
r_0013_EXP_3	[0.0049494432439269875, 0.0052720045319103685, 0.0051064403045183665]
r_0013_EXP_4	[0.0007679577956534149, 0.0009659904522098618, 0.0010322046229306232]
r_0013_EXP_5	[0.9677147428353527, 1.0, 0.6868450420055671]
r_0013_EXP_6	[0.0013956649635139655, 0.0016689002055799921, 0.0014923800029446657]
r_0013_EXP_7	[0.0004846563305128142, 0.0005564209896162389, 0.0006449838763334384]
r_0014_EXP_1	[0.0002735689643296204, 0.00025754597637224475, 0.0002970463938837967]
r_0014_EXP_2	[0.00041799716224443705, 0.0003627057032543909, 0.0004317318709610771]
