reaction	linear_coefficient
r_0001_EXP_1	[0.0023670145520646633, 0.0025794493084184806, 0.003185270342494877, 0.003283679624471696, 0.0026568278646606014, 0.002547880394813604]
r_0001_EXP_2	[0.007287247386353589, 0.006901551668793609, 0.009422232619922331, 0.007726386499704031, 0.0028907080738692424, 0.0031007151569614096]
r_0001_EXP_3	[0.0001123971196458645, 0.00016596764849391316, 0.0001982194433437934, 0.00021804885200848526, 0.00026605239275015447, 0.00011540744136323828]
r_0002	[0.000711279875132106, 0.0008185927912286188, 0.0009390080663332619, 0.0008536064511776874, 0.0009676930203760489, 0.0009170178464775642]
r_0003	[0.00028853910655358327, 0.0002644771040010385, 0.00028185686852002384, 0.0003052822479728855, 0.00029203908266222495, 0.00017069091757801932]
r_0004_EXP_1	[0.004069720425505931, 0.003810817502257546, 0.004571261959700978, 0.005053271371178102, 0.006450884591822851, 0.00959652361219818]
r_0004_EXP_2	[0.000582109084733113, 0.0004984370608304611, 0.0007000439944011744, 0.0006043681769936868, 0.0006038793616070673, 0.0006406004654036581]
r_0005	[0.0063947946526878175, 0.0061996717983053345, 0.005574911061815738, 0.005825910021148501, 0.004138069189648605, 0.003515341228572268]
r_0006	[0.0001006543205186832, 9.20855568635692e-05, 0.00010263381457095855, 0.00010589162862568489, 0.00026605239275015447, 0.00011540744136323828]
r_0006_REV	[0.0001006543205186832, 9.20855568635692e-05, 0.00010263381457095855, 0.00010589162862568489, 0.00026605239275015447, 0.00011540744136323828]
r_0007_EXP_1	[0.0076277885610418475, 0.009450483830040471, 0.009422232619922331, 0.008629840605718517, 0.01055059610430048, 0.01001114968380904]
r_0007_EXP_2	[0.0008404506655311002, 0.0009417296106125253, 0.0013452469886178085, 0.0014143925680916894, 0.0011755865396726097, 0.0011657934894440775]
r_0007_EXP_3	[0.00048816669171566397, 0.0005107507427688517, 0.0006761475872079654, 0.0006168300907028871, 0.0005778926716949968, 0.0006406004654036581]
r_0007_EXP_4	[0.0015097902157804291, 0.0014712179339633228, 0.0013094023778279962, 0.0012274638624536886, 0.00255288110501233, 0.0024096717042766565]
r_0007_EXP_5	[0.007392092050560576, 0.007659110165678984, 0.0085022209429838, 0.00851768338233571, 0.015546226061047401, 0.013328158256695907]
r_0008_EXP_1	[0.0076277885610418475, 0.009450483830040471, 0.009422232619922331, 0.008629840605718517, 0.01055059610430048, 0.01001114968380904]
r_0008_EXP_2	[0.0008404506655311002, 0.0009417296106125253, 0.0013452469886178085, 0.0014143925680916894, 0.0011755865396726097, 0.0011657934894440775]
r_0008_EXP_3	[0.00048816669171566397, 0.0005107507427688517, 0.0006761475872079654, 0.0006168300907028871, 0.0005778926716949968, 0.0006406004654036581]
r_0008_EXP_4	[0.0015097902157804291, 0.0014712179339633228, 0.0013094023778279962, 0.0012274638624536886, 0.00255288110501233, 0.0024096717042766565]
r_0008_EXP_5	[0.007392092050560576, 0.007659110165678984, 0.0085022209429838, 0.00851768338233571, 0.015546226061047401, 0.013328158256695907]
r_0009_EXP_1	[0.0076277885610418475, 0.009450483830040471, 0.009422232619922331, 0.008629840605718517, 0.01055059610430048, 0.01001114968380904]
r_0009_EXP_2	[0.0008404506655311002, 0.0009417296106125253, 0.0013452469886178085, 0.0014143925680916894, 0.0011755865396726097, 0.0011657934894440775]
r_0009_EXP_3	[0.00048816669171566397, 0.0005107507427688517, 0.0006761475872079654, 0.0006168300907028871, 0.0005778926716949968, 0.0006406004654036581]
r_0009_EXP_4	[0.0015097902157804291, 0.0014712179339633228, 0.0013094023778279962, 0.0012274638624536886, 0.00255288110501233, 0.0024096717042766565]
r_0009_EXP_5	[0.007392092050560576, 0.007659110165678984, 0.0085022209429838, 0.00851768338233571, 0.015546226061047401, 0.013328158256695907]
r_0010_EXP_1	[0.0076277885610418475, 0.009450483830040471, 0.009422232619922331, 0.008629840605718517, 0.01055059610430048, 0.01001114968380904]
r_0010_EXP_2	[0.0008404506655311002, 0.0009417296106125253, 0.0013452469886178085, 0.0014143925680916894, 0.0011755865396726097, 0.0011657934894440775]
r_0010_EXP_3	[0.00048816669171566397, 0.0005107507427688517, 0.0006761475872079654, 0.0006168300907028871, 0.0005778926716949968, 0.0006406004654036581]
r_0010_EXP_4	[0.0015097902157804291, 0.0014712179339633228, 0.0013094023778279962, 0.0012274638624536886, 0.00255288110501233, 0.0024096717042766565]
r_0010_EXP_5	[0.007392092050560576, 0.007659110165678984, 0.0085022209429838, 0.00851768338233571, 0.015546226061047401, 0.013328158256695907]
r_0011_EXP_1	[0.00013588271790022683, 9.20855568635692e-05, 0.0001504266289573759, 0.0001308154560440849, 0.00026605239275015447, 0.00011540744136323828]
r_0011_EXP_2	[0.00026505350829922065, 0.000252163422062648, 0.0001982194433437934, 0.00024297267942688578, 0.0003180257725742954, 0.00017069091757801932]
r_0011_EXP_3	[0.0024726997442092963, 0.0026287040361720423, 0.0030657883065288247, 0.003183984314798094, 0.004293989329121022, 0.003266565585605759]
r_0011_EXP_4	[0.0007934794690223751, 0.0008555338370437902, 0.001010697287912887, 0.000890992192305288, 0.001045653090112259, 0.0009723013226923449]
r_0011_EXP_5	[0.0103403751594207, 0.011494555031813326, 0.010378088907650674, 0.010548975316935327, 0.01055059610430048, 0.010946128290526654]
r_0011_EXP_6	[0.0015685042114163311, 0.0021484704405748127, 0.0027312386058239158, 0.002835050730940487, 0.002994654833517515, 0.003128356895068812]
r_0012_EXP_1	[0.00013588271790022683, 9.20855568635692e-05, 0.0001504266289573759, 0.0001308154560440849, 0.00026605239275015447, 0.00011540744136323828]
r_0012_EXP_2	[0.00026505350829922065, 0.000252163422062648, 0.0001982194433437934, 0.00024297267942688578, 0.0003180257725742954, 0.00017069091757801932]
r_0012_EXP_3	[0.0024726997442092963, 0.0026287040361720423, 0.0030657883065288247, 0.003183984314798094, 0.004293989329121022, 0.003266565585605759]
r_0012_EXP_4	[0.0007934794690223751, 0.0008555338370437902, 0.001010697287912887, 0.000890992192305288, 0.001045653090112259, 0.0009723013226923449]
r_0012_EXP_5	[0.0103403751594207, 0.011494555031813326, 0.010378088907650674, 0.010548975316935327, 0.01055059610430048, 0.010946128290526654]
r_0012_EXP_6	[0.0015685042114163311, 0.0021484704405748127, 0.0027312386058239158, 0.002835050730940487, 0.002994654833517515, 0.003128356895068812]
r_0013_EXP_1	[0.00013588271790022683, 9.20855568635692e-05, 0.0001504266289573759, 0.0001308154560440849, 0.00026605239275015447, 0.00011540744136323828]
r_0013_EXP_2	[0.00026505350829922065, 0.000252163422062648, 0.0001982194433437934, 0.00024297267942688578, 0.0003180257725742954, 0.00017069091757801932]
r_0013_EXP_3	[0.0024726997442092963, 0.0026287040361720423, 0.0030657883065288247, 0.003183984314798094, 0.004293989329121022, 0.003266565585605759]
r_0013_EXP_4	[0.0007934794690223751, 0.0008555338370437902, 0.001010697287912887, 0.000890992192305288, 0.001045653090112259, 0.0009723013226923449]
r_0013_EXP_5	[0.014180270474008962, 0.01779916018426937, 0.032792918854880365, 0.02962816520572058, 0.021860991709680453, 0.027425444691465108]
r_0013_EXP_6	[0.002742784124134462, 0.003022741858200554, 0.0030657883065288247, 0.002872436472068096, 0.002994654833517515, 0.002796656037780112]
r_0013_EXP_7	[0.00035899590131666966, 0.0003137318317546005, 0.0003177014793098364, 0.0003052822479728855, 0.00044795922213464607, 0.0004747500367593147]
r_0014_EXP_1	[0.00013588271790022683, 9.20855568635692e-05, 0.0001504266289573759, 0.0001308154560440849, 0.00026605239275015447, 0.00011540744136323828]
r_0014_EXP_2	[0.00026505350829922065, 0.000252163422062648, 0.0001982194433437934, 0.00024297267942688578, 0.0003180257725742954, 0.00017069091757801932]
r_0014_EXP_3	[0.0024726997442092963, 0.0026287040361720423, 0.0030657883065288247, 0.003183984314798094, 0.004293989329121022, 0.003266565585605759]
r_0014_EXP_4	[0.0007934794690223751, 0.0008555338370437902, 0.001010697287912887, 0.000890992192305288, 0.001045653090112259, 0.0009723013226923449]
r_0014_EXP_5	[0.014180270474008962, 0.01779916018426937, 0.032792918854880365, 0.02962816520572058, 0.021860991709680453, 0.027425444691465108]
r_0014_EXP_6	[0.002742784124134462, 0.003022741858200554, 0.0030657883065288247, 0.002872436472068096, 0.002994654833517515, 0.002796656037780112]
r_0014_EXP_7	[0.00035899590131666966, 0.0003137318317546005, 0.0003177014793098364, 0.0003052822479728855, 0.00044795922213464607, 0.0004747500367593147]
r_0015	[0.00026505350829922065, 0.000252163422062648, 0.0001982194433437934, 0.00024297267942688578, 0.0003180257725742954, 0.00017069091757801932]
r_0016	[0.003823121643835124, 0.003712308046750422, 0.006972850882618446, 0.0065736248437005, 0.01001106110977646, 0.007689243682788239]
r_0017	[0.5373924283846949, 0.09101631298994012, 0.4442054132967568, 0.44599316414380347, 0.08677574311003165, 0.08522431907401871]
r_0018	[0.0001123971196458645, 0.00016596764849391316, 0.0001982194433437934, 0.00021804885200848526, 0.00026605239275015447, 0.00011540744136323828]
r_0019	[0.00318901049096734, 0.00317050604146124, 0.0030657883065288247, 0.0031715224010889016, 0.002994654833517515, 0.003266565585605759]
r_0020	[0.00035899590131666966, 0.0003137318317546005, 0.0003177014793098364, 0.0003052822479728855, 0.0005259192918708558, 0.0005300335129740968]
r_0020_REV	[0.00035899590131666966, 0.0003137318317546005, 0.0003177014793098364, 0.0003052822479728855, 0.0005259192918708558, 0.0005300335129740968]
r_0021_EXP_1	[0.00026505350829922065, 0.0002152223762474765, 0.0001982194433437934, 0.00023051076571768553, 0.0003180257725742954, 0.00017069091757801932]
r_0021_EXP_2	[0.00022982511091767673, 0.000190595012370694, 0.0001982194433437934, 0.00021804885200848526, 0.00026605239275015447, 0.00011540744136323828]
r_0021_EXP_3	[0.05478686985580167, 0.05353346516947903, 0.07458773503580236, 0.06706375398815755, 0.030072785721894556, 0.028254696834686857]
r_0021_REV_EXP_1	[0.00026505350829922065, 0.0002152223762474765, 0.0001982194433437934, 0.00023051076571768553, 0.0003180257725742954, 0.00017069091757801932]
r_0021_REV_EXP_2	[0.00022982511091767673, 0.000190595012370694, 0.0001982194433437934, 0.00021804885200848526, 0.00026605239275015447, 0.00011540744136323828]
r_0021_REV_EXP_3	[0.05478686985580167, 0.05353346516947903, 0.07458773503580236, 0.06706375398815755, 0.030072785721894556, 0.028254696834686857]
r_0022	[0.00025331070917203937, 0.000190595012370694, 0.0001982194433437934, 0.00021804885200848526, 0.00029203908266222495, 0.00017069091757801932]
r_0022_REV	[0.00025331070917203937, 0.000190595012370694, 0.0001982194433437934, 0.00021804885200848526, 0.00029203908266222495, 0.00017069091757801932]
r_0023	[0.00026505350829922065, 0.000252163422062648, 0.0002579604613268149, 0.00029282033426368526, 0.0003180257725742954, 0.00017069091757801932]
