reaction	linear_coefficient
r_0013_EXP_2	[0.0007730489382106182, 0.0009014006409067981, 0.0006747293897351565, 0.0007364774275635276, 0.0005234717985076494, 0.0006347898956596704]
r_0013_EXP_3	[0.01577903308466778, 0.014659665970839763, 0.014083168784631391, 0.014289480715996774, 0.014228629500707626, 0.014389888854167603]
r_0013_EXP_4	[0.0032123625046190144, 0.0031027230936960717, 0.0032383787375901496, 0.0037263997785676726, 0.005379273929701517, 0.0053081762038991115]
r_0013_EXP_5	[0.08746120623271052, 0.0686098186646026, 0.07046501091695297, 0.1245625379510573, 0.04645597219067304, 0.04736865297805405]
r_0013_EXP_6	[0.012095630718949209, 0.01114465108654722, 0.0039392325161404194, 0.003844423029265201, 0.0057745136380545235, 0.0055448033587466574]
r_0013_EXP_7	[0.0028254369044300957, 0.0029251970894388717, 0.0020764369468357236, 0.0020150626434534548, 0.001850347962264115, 0.0019362392473212854]
r_0014_EXP_1	[0.0005711747120250959, 0.0006351116345209999, 0.0004902941848535021, 0.0005594425515172305, 0.0004387775752891532, 0.0004868979238799412]
r_0014_EXP_2	[0.0007730489382106182, 0.0009014006409067981, 0.0006747293897351565, 0.0007364774275635276, 0.0005234717985076494, 0.0006347898956596704]
r_0014_EXP_3	[0.01577903308466778, 0.014659665970839763, 0.014083168784631391, 0.014289480715996774, 0.014228629500707626, 0.014389888854167603]
r_0014_EXP_4	[0.0032123625046190144, 0.0031027230936960717, 0.0032383787375901496, 0.0037263997785676726, 0.005379273929701517, 0.0053081762038991115]
r_0014_EXP_5	[0.08746120623271052, 0.0686098186646026, 0.07046501091695297, 0.1245625379510573, 0.04645597219067304, 0.04736865297805405]
r_0014_EXP_6	[0.012095630718949209, 0.01114465108654722, 0.0039392325161404194, 0.003844423029265201, 0.0057745136380545235, 0.0055448033587466574]
r_0014_EXP_7	[0.0028254369044300957, 0.0029251970894388717, 0.0020764369468357236, 0.0020150626434534548, 0.001850347962264115, 0.0019362392473212854]
r_0015	[0.0007730489382106182, 0.0009014006409067981, 0.0006747293897351565, 0.0007364774275635276, 0.0005234717985076494, 0.0006347898956596704]
r_0016	[0.042392785236792414, 0.02289687256837383, 0.03101432059276708, 0.03161922802675092, 0.037252533267596186, 0.04736865297805405]
r_0017	[0.07827592894126904, 0.07402436179444716, 0.13566285584261772, 0.14287581235095762, 0.03784539283012562, 0.05420126207427742]
r_0018	[0.00016742625965404943, 0.00020904922430371988, 0.00045340714387717, 0.0005201014679513869, 0.00029762053659165643, 0.0004573195295239959]
r_0019	[0.009134006472727663, 0.009404896244826672, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0020	[0.0013113802080386785, 0.0012564526494211977, 0.0011727044429156199, 0.0011692293467878124, 0.0019068107777431144, 0.001995396036033176]
r_0020_REV	[0.0013113802080386785, 0.0012564526494211977, 0.0011727044429156199, 0.0011692293467878124, 0.0019068107777431144, 0.001995396036033176]
r_0021_EXP_1	[0.0006889346772999828, 0.0007416272370753174, 0.0004902941848535021, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
r_0021_EXP_2	[0.0005207061554787154, 0.00047533823068951925, 0.0004902941848535021, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
