reaction	linear_coefficient
r_0001_EXP_1	[0.0002018208378795558, 0.0002256143817646161, 0.0003916390990334738, 0.00035750091340774843, 0.00013153214686698097, 8.707350247328723e-05]
r_0001_EXP_2	[0.0031007265589011943, 0.0030494520396334066, 0.005090101222539536, 0.004974978194418034, 0.0010982036989792812, 0.0008481169770969869]
r_0001_EXP_3	[2.60898770469752e-05, 4.609205643618772e-05, 6.266239738762814e-05, 6.485513726551127e-05, 6.080008207827572e-05, 1.3424133961316206e-05]
r_0002	[0.0006457727389302883, 0.0007205137651024466, 0.0007206158006793202, 0.0006412786357274934, 0.0010510489891201488, 0.0008481169770969869]
r_0003	[0.00041917228943564276, 0.0004051367070930444, 0.00048442739949768743, 0.0004993897745676215, 0.0002965736313739592, 0.000381670976521172]
r_0004_EXP_1	[0.004539600871062735, 0.004820415519224659, 0.00479125042397027, 0.004974978194418034, 0.007132149866194414, 0.01911316036806582]
r_0004_EXP_2	[0.00028968631829584616, 0.00030809761232092103, 0.00046755679941328464, 0.0004816536669226367, 0.00032015098630352806, 0.000381670976521172]
r_0005	[0.002532568318395887, 0.0025982202489430303, 0.002525770009710377, 0.0026986671225456404, 0.00260715441447166, 0.001682809820232664]
r_0006	[2.60898770469752e-05, 4.609205643618772e-05, 7.953299747203048e-05, 7.372319108800334e-05, 6.080008207827572e-05, 1.3424133961316206e-05]
r_0006_REV	[2.60898770469752e-05, 4.609205643618772e-05, 7.953299747203048e-05, 7.372319108800334e-05, 6.080008207827572e-05, 1.3424133961316206e-05]
r_0007_EXP_1	[0.0031007265589011943, 0.003117380919554467, 0.003436782414268103, 0.0036918891506647587, 0.005389282296160724, 0.005905373614919006]
r_0007_EXP_2	[0.02587703911531344, 0.026149608550137364, 0.01861188719018799, 0.010005943472279084, 0.01772023892432496, 0.009538742461509576]
r_0007_EXP_3	[0.0006827687306845121, 0.0006816981271935953, 0.00042538029920227846, 0.0004639175592776529, 0.0011925131186975588, 0.0013391127671767958]
r_0007_EXP_4	[0.0001509513492174933, 0.00015768701542412945, 0.0002819801984848593, 0.00026882037518282764, 0.00017868685672611722, 0.00018527266048924904]
r_0007_EXP_5	[0.00404940398031922, 0.00445166695909059, 0.007671303035453095, 0.0061660761671400305, 0.007132149866194414, 0.0072299130089251385]
r_0008_EXP_1	[0.0031007265589011943, 0.003117380919554467, 0.003436782414268103, 0.0036918891506647587, 0.005389282296160724, 0.005905373614919006]
r_0008_EXP_2	[0.02587703911531344, 0.026149608550137364, 0.01861188719018799, 0.010005943472279084, 0.01772023892432496, 0.009538742461509576]
r_0008_EXP_3	[0.0006827687306845121, 0.0006816981271935953, 0.00042538029920227846, 0.0004639175592776529, 0.0011925131186975588, 0.0013391127671767958]
r_0008_EXP_4	[0.0001509513492174933, 0.00015768701542412945, 0.0002819801984848593, 0.00026882037518282764, 0.00017868685672611722, 0.00018527266048924904]
r_0008_EXP_5	[0.00404940398031922, 0.00445166695909059, 0.007671303035453095, 0.0061660761671400305, 0.007132149866194414, 0.0072299130089251385]
r_0009_EXP_1	[0.0031007265589011943, 0.003117380919554467, 0.003436782414268103, 0.0036918891506647587, 0.005389282296160724, 0.005905373614919006]
r_0009_EXP_2	[0.02587703911531344, 0.026149608550137364, 0.01861188719018799, 0.010005943472279084, 0.01772023892432496, 0.009538742461509576]
r_0009_EXP_3	[0.0006827687306845121, 0.0006816981271935953, 0.00042538029920227846, 0.0004639175592776529, 0.0011925131186975588, 0.0013391127671767958]
r_0009_EXP_4	[0.0001509513492174933, 0.00015768701542412945, 0.0002819801984848593, 0.00026882037518282764, 0.00017868685672611722, 0.00018527266048924904]
r_0009_EXP_5	[0.00404940398031922, 0.00445166695909059, 0.007671303035453095, 0.0061660761671400305, 0.007132149866194414, 0.0072299130089251385]
r_0010_EXP_1	[0.0031007265589011943, 0.003117380919554467, 0.003436782414268103, 0.0036918891506647587, 0.005389282296160724, 0.005905373614919006]
r_0010_EXP_2	[0.02587703911531344, 0.026149608550137364, 0.01861188719018799, 0.010005943472279084, 0.01772023892432496, 0.009538742461509576]
r_0010_EXP_3	[0.0006827687306845121, 0.0006816981271935953, 0.00042538029920227846, 0.0004639175592776529, 0.0011925131186975588, 0.0013391127671767958]
r_0010_EXP_4	[0.0001509513492174933, 0.00015768701542412945, 0.0002819801984848593, 0.00026882037518282764, 0.00017868685672611722, 0.00018527266048924904]
r_0010_EXP_5	[0.00404940398031922, 0.00445166695909059, 0.007671303035453095, 0.0061660761671400305, 0.007132149866194414, 0.0072299130089251385]
r_0011_EXP_1	[4.921237189336736e-05, 4.609205643618772e-05, 0.00015545069785184097, 0.00011806346020046352, 8.437743700784404e-05, 3.7973923465306594e-05]
r_0011_EXP_2	[0.0002711883224187325, 0.0002547261101962533, 0.00029885079856926115, 0.00031316064429528855, 0.0002965736313739592, 0.0003325713975131911]
r_0011_EXP_3	[0.00404940398031922, 0.004699116650759507, 0.006515666929671527, 0.007700249478431155, 0.00765270836939926, 0.004285087507655644]
r_0011_EXP_4	[0.0023198413658090814, 0.0021809521414229006, 0.0019268637067140877, 0.0018207297941189363, 0.0015697507975706503, 0.0011181646616408815]
r_0011_EXP_5	[0.00022031883375666945, 0.00023046633650322223, 0.00029885079856926115, 0.00031316064429528855, 0.00020226421165568605, 0.00018527266048924904]
r_0011_EXP_6	[0.0005347847636676035, 0.0005167316660809866, 0.0009568042018609531, 0.0009427924656922233, 0.0009803169243314406, 0.0010199655036249211]
r_0012_EXP_1	[4.921237189336736e-05, 4.609205643618772e-05, 0.00015545069785184097, 0.00011806346020046352, 8.437743700784404e-05, 3.7973923465306594e-05]
r_0012_EXP_2	[0.0002711883224187325, 0.0002547261101962533, 0.00029885079856926115, 0.00031316064429528855, 0.0002965736313739592, 0.0003325713975131911]
r_0012_EXP_3	[0.00404940398031922, 0.004699116650759507, 0.006515666929671527, 0.007700249478431155, 0.00765270836939926, 0.004285087507655644]
r_0012_EXP_4	[0.0023198413658090814, 0.0021809521414229006, 0.0019268637067140877, 0.0018207297941189363, 0.0015697507975706503, 0.0011181646616408815]
r_0012_EXP_5	[0.00022031883375666945, 0.00023046633650322223, 0.00029885079856926115, 0.00031316064429528855, 0.00020226421165568605, 0.00018527266048924904]
r_0012_EXP_6	[0.0005347847636676035, 0.0005167316660809866, 0.0009568042018609531, 0.0009427924656922233, 0.0009803169243314406, 0.0010199655036249211]
r_0013_EXP_1	[4.921237189336736e-05, 4.609205643618772e-05, 0.00015545069785184097, 0.00011806346020046352, 8.437743700784404e-05, 3.7973923465306594e-05]
r_0013_EXP_2	[0.0002711883224187325, 0.0002547261101962533, 0.00029885079856926115, 0.00031316064429528855, 0.0002965736313739592, 0.0003325713975131911]
r_0013_EXP_3	[0.00404940398031922, 0.004699116650759507, 0.006515666929671527, 0.007700249478431155, 0.00765270836939926, 0.004285087507655644]
r_0013_EXP_4	[0.0023198413658090814, 0.0021809521414229006, 0.0019268637067140877, 0.0018207297941189363, 0.0015697507975706503, 0.0011181646616408815]
