reaction	linear_coefficient
r_0001_EXP_1	[0.0029605252629193316, 0.0029678353737911467, 0.003626141256978906]
r_0001_EXP_2	[0.02176497120185755, 0.01896692241385073, 0.024990382368374305]
r_0001_EXP_3	[0.00022683928941729696, 0.00027078825825947706, 0.00039529457914143693]
r_0002	[0.001966457636191319, 0.0022350527612693357, 0.002684702489926922]
r_0003	[0.00023719416052904726, 0.0002911433308295275, 0.0004059927469488454]
r_0004_EXP_1	[0.14461516207166095, 0.13437000634975077, 0.19679225918755291]
r_0004_EXP_2	[0.0022253294139850683, 0.0022350527612693357, 0.003262403551526999]
r_0005	[0.002639524258455073, 0.0025098462409650158, 0.0019037362399860864]
r_0006	[0.00020612954719379707, 0.00026061072197445183, 0.0003418037401043925]
r_0006_REV	[0.00020612954719379707, 0.00026061072197445183, 0.0003418037401043925]
r_0007_EXP_1	[0.058183052901882665, 0.05365196607321648, 0.07925148948755194]
r_0007_EXP_2	[0.2187249746184565, 0.20089038350867558, 0.10334376338983667]
r_0007_EXP_3	[0.0012830361428158071, 0.0012783643504769666, 0.0013902241852304627]
r_0007_EXP_4	[0.0005685500361050506, 0.0005048715928150553, 0.0008553157948600172]
r_0007_EXP_5	[0.02923083327342935, 0.03628908917096359, 0.02797517118664144]
r_0008_EXP_1	[0.058183052901882665, 0.05365196607321648, 0.07925148948755194]
r_0008_EXP_2	[0.2187249746184565, 0.20089038350867558, 0.10334376338983667]
r_0008_EXP_3	[0.0012830361428158071, 0.0012783643504769666, 0.0013902241852304627]
r_0008_EXP_4	[0.0005685500361050506, 0.0005048715928150553, 0.0008553157948600172]
r_0008_EXP_5	[0.02923083327342935, 0.03628908917096359, 0.02797517118664144]
r_0009_EXP_1	[0.058183052901882665, 0.05365196607321648, 0.07925148948755194]
r_0009_EXP_2	[0.2187249746184565, 0.20089038350867558, 0.10334376338983667]
r_0009_EXP_3	[0.0012830361428158071, 0.0012783643504769666, 0.0013902241852304627]
r_0009_EXP_4	[0.0005685500361050506, 0.0005048715928150553, 0.0008553157948600172]
r_0009_EXP_5	[0.02923083327342935, 0.03628908917096359, 0.02797517118664144]
r_0010_EXP_1	[0.058183052901882665, 0.05365196607321648, 0.07925148948755194]
r_0010_EXP_2	[0.2187249746184565, 0.20089038350867558, 0.10334376338983667]
r_0010_EXP_3	[0.0012830361428158071, 0.0012783643504769666, 0.0013902241852304627]
r_0010_EXP_4	[0.0005685500361050506, 0.0005048715928150553, 0.0008553157948600172]
r_0010_EXP_5	[0.02923083327342935, 0.03628908917096359, 0.02797517118664144]
r_0011_EXP_1	[0.0001957746760820468, 0.00026061072197445183, 0.00025621839764512256]
r_0011_EXP_2	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0011_EXP_3	[0.008914576152175672, 0.009058007293672388, 0.009729983620838331]
r_0011_EXP_4	[0.0028569765518018284, 0.003232451317201804, 0.003786613774090033]
r_0011_EXP_5	[0.00039251722720529857, 0.0003929186936797789, 0.0007804286202081547]
r_0011_EXP_6	[0.0008999059116810538, 0.0007694875362257104, 0.001133468157852651]
r_0012_EXP_1	[0.0001957746760820468, 0.00026061072197445183, 0.00025621839764512256]
r_0012_EXP_2	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0012_EXP_3	[0.008914576152175672, 0.009058007293672388, 0.009729983620838331]
r_0012_EXP_4	[0.0028569765518018284, 0.003232451317201804, 0.003786613774090033]
r_0012_EXP_5	[0.00039251722720529857, 0.0003929186936797789, 0.0007804286202081547]
r_0012_EXP_6	[0.0008999059116810538, 0.0007694875362257104, 0.001133468157852651]
r_0013_EXP_1	[0.0001957746760820468, 0.00026061072197445183, 0.00025621839764512256]
r_0013_EXP_2	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0013_EXP_3	[0.008914576152175672, 0.009058007293672388, 0.009729983620838331]
r_0013_EXP_4	[0.0028569765518018284, 0.003232451317201804, 0.003786613774090033]
r_0013_EXP_5	[0.9901628724438369, 1.0, 0.7188093573500669]
r_0013_EXP_6	[0.002380652480661323, 0.002296117978979488, 0.002973553020726966]
r_0013_EXP_7	[0.0016454566317270598, 0.0016752882655929526, 0.0019037362399860864]
r_0014_EXP_1	[0.0001957746760820468, 0.00026061072197445183, 0.00025621839764512256]
r_0014_EXP_2	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0014_EXP_3	[0.008914576152175672, 0.009058007293672388, 0.009729983620838331]
r_0014_EXP_4	[0.0028569765518018284, 0.003232451317201804, 0.003786613774090033]
r_0014_EXP_5	[0.9901628724438369, 1.0, 0.7188093573500669]
r_0014_EXP_6	[0.002380652480661323, 0.002296117978979488, 0.002973553020726966]
r_0014_EXP_7	[0.0016454566317270598, 0.0016752882655929526, 0.0019037362399860864]
r_0015	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0016	[0.0008999059116810538, 0.0009221505805010878, 0.0013902241852304627]
r_0017	[0.035236658518244444, 0.03230967248351869, 0.054185682314793045]
r_0018	[0.00022683928941729696, 0.00027078825825947706, 0.00039529457914143693]
r_0019	[0.17077156649994155, 0.15760532168846383, 0.19679225918755291]
r_0020	[0.0007135182316695524, 0.0007389549273706347, 0.0009409011373192871]
r_0020_REV	[0.0007135182316695524, 0.0007389549273706347, 0.0009409011373192871]
r_0021_EXP_1	[0.0009516802672398053, 0.0009221505805010878, 0.001197657164697104]
r_0021_EXP_2	[0.00016471006274679597, 0.0002097230405493257, 0.00011714221614880754]
r_0021_EXP_3	[0.08990002311717334, 0.05156557113478636, 0.030917167333678816]
r_0021_REV_EXP_1	[0.0009516802672398053, 0.0009221505805010878, 0.001197657164697104]
r_0021_REV_EXP_2	[0.00016471006274679597, 0.0002097230405493257, 0.00011714221614880754]
r_0021_REV_EXP_3	[0.08990002311717334, 0.05156557113478636, 0.030917167333678816]
r_0022	[6.116135162929515e-05, 0.00018936796797927529, 0.00011714221614880754]
r_0022_REV	[6.116135162929515e-05, 0.00018936796797927529, 0.00011714221614880754]
r_0023	[0.0001543551916350464, 0.00018936796797927529, 0.00011714221614880754]
r_0023_REV	[0.0001543551916350464, 0.00018936796797927529, 0.00011714221614880754]
r_0024_EXP_1	[0.0012830361428158071, 0.0012172991327668214, 0.0019037362399860864]
r_0024_EXP_2	[0.00022683928941729696, 0.00027078825825947706, 0.0004059927469488454]
r_0024_EXP_3	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0024_EXP_4	[0.0037060759829653377, 0.003700617986312957, 0.005188073756860598]
r_0024_REV_EXP_1	[0.0012830361428158071, 0.0012172991327668214, 0.0019037362399860864]
r_0024_REV_EXP_2	[0.00022683928941729696, 0.00027078825825947706, 0.0004059927469488454]
r_0024_REV_EXP_3	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0024_REV_EXP_4	[0.0037060759829653377, 0.003700617986312957, 0.005188073756860598]
r_0025	[0.0008377766850105523, 0.0007694875362257104, 0.001026486479778558]
r_0026	[0.0003510977427582982, 0.0003929186936797789, 0.0004701817537932994]
r_0026_REV	[0.0003510977427582982, 0.0003929186936797789, 0.0004701817537932994]
r_0027	[0.00041322696942879916, 0.0005048715928150553, 0.0007804286202081547]
r_0028	[0.014765078330314476, 0.017694730378222598, 0.017715628259336376]
r_0028_REV	[0.014765078330314476, 0.017694730378222598, 0.017715628259336376]
r_0029_EXP_1	[0.0037060759829653377, 0.003700617986312957, 0.005188073756860598]
r_0029_EXP_2	[0.0008377766850105523, 0.0007694875362257104, 0.0010371846475859664]
r_0029_REV_EXP_1	[0.0037060759829653377, 0.003700617986312957, 0.005188073756860598]
r_0029_REV_EXP_2	[0.0008377766850105523, 0.0007694875362257104, 0.0010371846475859664]
r_0030	[0.0008377766850105523, 0.0007694875362257104, 0.0010371846475859664]
r_0030_REV	[0.0008377766850105523, 0.0007694875362257104, 0.0010371846475859664]
r_0031	[0.001966457636191319, 0.0022350527612693357, 0.002684702489926922]
r_0032	[0.0004028720983170489, 0.0005048715928150553, 0.0007804286202081547]
r_0033	[0.003675011369630087, 0.0034868897243274305, 0.0035298577467122207]
r_0034	[0.0005374854227698004, 0.000708422318515559, 0.0009195048017044701]
r_0034_REV	[0.0005374854227698004, 0.000708422318515559, 0.0009195048017044701]
r_0035_EXP_1	[0.010002805493950585, 0.008748675983685467, 0.009729983620838331]
r_0035_EXP_2	[0.0003510977427582982, 0.0003929186936797789, 0.0007590322845933377]
r_0036_EXP_1	[0.010002805493950585, 0.008748675983685467, 0.009729983620838331]
r_0036_EXP_2	[0.0003510977427582982, 0.0003929186936797789, 0.0007590322845933377]
r_0037_EXP_1	[0.0002475490316407975, 0.00030132086711455274, 0.00041669091475625495]
r_0037_EXP_2	[0.0007238731027813027, 0.0007694875362257104, 0.001026486479778558]
r_0037_EXP_3	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0037_REV_EXP_1	[0.0002475490316407975, 0.00030132086711455274, 0.00041669091475625495]
r_0037_REV_EXP_2	[0.0007238731027813027, 0.0007694875362257104, 0.001026486479778558]
r_0037_REV_EXP_3	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0038_EXP_1	[0.0002475490316407975, 0.00030132086711455274, 0.00041669091475625495]
r_0038_EXP_2	[0.0007238731027813027, 0.0007694875362257104, 0.001026486479778558]
r_0038_EXP_3	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0038_REV_EXP_1	[0.0002475490316407975, 0.00030132086711455274, 0.00041669091475625495]
r_0038_REV_EXP_2	[0.0007238731027813027, 0.0007694875362257104, 0.001026486479778558]
r_0038_REV_EXP_3	[0.0012830361428158071, 0.0011664114513416917, 0.0015720930379564111]
r_0039	[0.001966457636191319, 0.0022350527612693357, 0.0019572270790231294]
r_0040_EXP_1	[0.0004028720983170489, 0.0003929186936797789, 0.0007697304524007461]
r_0040_EXP_2	[1.0, 1.0, 0.7188093573500669]
r_0041_EXP_1	[0.0004028720983170489, 0.0003929186936797789, 0.0007697304524007461]
r_0041_EXP_2	[1.0, 1.0, 0.7188093573500669]
r_0042	[0.0019975222495265694, 0.0021943426161292363, 0.002160492267363898]
r_0043	[0.0019975222495265694, 0.0021943426161292363, 0.002160492267363898]
r_0044	[0.00023719416052904726, 0.0002911433308295275, 0.0004059927469488454]
r_0045_EXP_1	[0.0005374854227698004, 0.0006982447822305338, 0.0009195048017044701]
r_0045_EXP_2	[0.0007238731027813027, 0.0007593099999406852, 0.000983693808548923]
r_0046	[0.0019975222495265694, 0.0021943426161292363, 0.002160492267363898]
r_0046_REV	[0.0019975222495265694, 0.0021943426161292363, 0.002160492267363898]
r_0047	[0.0007238731027813027, 0.0007491324636556599, 0.000983693808548923]
r_0047_REV	[0.0007238731027813027, 0.0007491324636556599, 0.000983693808548923]
r_0048_EXP_1	[0.010002805493950585, 0.009058007293672388, 0.01108276421874287]
r_0048_EXP_2	[0.00022683928941729696, 0.00026061072197445183, 0.00038459641133402843]
r_0048_REV_EXP_1	[0.010002805493950585, 0.009058007293672388, 0.01108276421874287]
r_0048_REV_EXP_2	[0.00022683928941729696, 0.00026061072197445183, 0.00038459641133402843]
r_0049_EXP_1	[0.010002805493950585, 0.008748675983685467, 0.009729983620838331]
r_0049_EXP_2	[0.0003510977427582982, 0.0003929186936797789, 0.0007590322845933377]
r_0050_EXP_1	[0.010002805493950585, 0.008748675983685467, 0.009729983620838331]
r_0050_EXP_2	[0.0003510977427582982, 0.0003929186936797789, 0.0007590322845933377]
r_0051_EXP_1	[0.010002805493950585, 0.009058007293672388, 0.01108276421874287]
r_0051_EXP_2	[0.00022683928941729696, 0.00026061072197445183, 0.00038459641133402843]
r_0051_REV_EXP_1	[0.010002805493950585, 0.009058007293672388, 0.01108276421874287]
r_0051_REV_EXP_2	[0.00022683928941729696, 0.00026061072197445183, 0.00038459641133402843]
r_0052	[0.0002475490316407975, 0.0002911433308295275, 0.00041669091475625495]
r_0052_REV	[0.0002475490316407975, 0.0002911433308295275, 0.00041669091475625495]
r_0053	[0.0002475490316407975, 0.0002911433308295275, 0.00041669091475625495]
r_0053_REV	[0.0002475490316407975, 0.0002911433308295275, 0.00041669091475625495]
r_0054	[0.0008999059116810538, 0.0009221505805010878, 0.001176260829082283]
r_0055	[0.00023719416052904726, 0.0002911433308295275, 0.0004059927469488454]
r_0056_EXP_1	[0.0036853662407418364, 0.0034563571154723536, 0.0036047449213640844]
r_0056_EXP_2	[0.010002805493950585, 0.011150574546951382, 0.01200280665017997]
r_0057_EXP_1	[0.0036853662407418364, 0.00352759986946753, 0.0050276012397494595]
r_0057_EXP_2	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0057_EXP_3	[0.010002805493950585, 0.009058007293672388, 0.004310823996653067]
r_0057_EXP_4	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0058	[0.17147569773554094, 0.13437000634975077, 0.05796213555080835]
r_0058_REV	[0.17147569773554094, 0.13437000634975077, 0.05796213555080835]
r_0059	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0059_REV	[0.010002805493950585, 0.009058007293672388, 0.009729983620838331]
r_0060_EXP_1	[0.0006928084894460525, 0.0006982447822305338, 0.0009195048017044701]
r_0060_EXP_2	[0.17077156649994155, 0.15760532168846383, 0.19679225918755291]
r_0060_REV_EXP_1	[0.0006928084894460525, 0.0006982447822305338, 0.0009195048017044701]
r_0060_REV_EXP_2	[0.17077156649994155, 0.15760532168846383, 0.19679225918755291]
r_0061	[0.0031779775562660803, 0.003232451317201804, 0.0034656687398677676]
r_0062	[0.011927843645694925, 0.009058007293672388, 0.009729983620838331]
r_0062_REV	[0.011927843645694925, 0.009058007293672388, 0.009729983620838331]
r_0063	[0.0016661663739505606, 0.0015429802938876239, 0.0019037362399860864]
